f,d,h1,h2,TM,,,,,,,,,,,
0.6,367.3089,608.3169,194.0026,0.684537995,,,,,,,,,,,
0.6,367.3089,608.3169,199.4684,0.678648274,,,,,,,,,,,
0.6,367.3089,608.3169,199.9801,0.678179956,,,,,,,,,,,
0.6,367.3089,609.9244,70.4817,0.675124262,,,,,,,,,,,
0.6,367.3089,609.9244,83.0101,0.684202086,,,,,,,,,,,
0.6,367.3089,609.9244,97.452,0.70405405,,,,,,,,,,,
0.6,367.3089,609.9244,104.1585,0.714944101,,,,,,,,,,,
0.6,367.3089,609.9244,107.597,0.720552513,,,,,,,,,,,
0.6,367.3089,609.9244,154.9268,0.745868556,,,,,,,,,,,
0.6,367.3089,609.9244,160.9761,0.738729776,,,,,,,,,,,
0.6,367.3089,609.9244,194.0026,0.687192737,,,,,,,,,,,
0.6,367.3089,609.9244,199.4684,0.681500607,,,,,,,,,,,
0.6,367.3089,609.9244,199.9801,0.681048136,,,,,,,,,,,
0.6,367.3089,615.194,70.4817,0.687191416,,,,,,,,,,,
0.6,367.3089,615.194,83.0101,0.696952966,,,,,,,,,,,
0.6,367.3089,615.194,97.452,0.716380623,,,,,,,,,,,
0.6,367.3089,615.194,104.1585,0.726666332,,,,,,,,,,,
0.6,367.3089,615.194,107.597,0.731834376,,,,,,,,,,,
0.6,367.3089,615.194,154.9268,0.751520917,,,,,,,,,,,
0.6,367.3089,615.194,160.9761,0.744400335,,,,,,,,,,,
0.6,367.3089,615.194,194.0026,0.696254124,,,,,,,,,,,
0.6,367.3089,615.194,199.4684,0.691364678,,,,,,,,,,,
0.6,367.3089,615.194,199.9801,0.691005446,,,,,,,,,,,
0.6,367.3089,660.2346,70.4817,0.790283549,,,,,,,,,,,
0.6,367.3089,660.2346,83.0101,0.791387993,,,,,,,,,,,
0.6,367.3089,660.2346,97.452,0.794011955,,,,,,,,,,,
0.6,367.3089,660.2346,104.1585,0.795729065,,,,,,,,,,,
0.6,367.3089,660.2346,107.597,0.796685491,,,,,,,,,,,
0.6,367.3089,660.2346,154.9268,0.80533482,,,,,,,,,,,
0.6,367.3089,660.2346,160.9761,0.804136875,,,,,,,,,,,
0.6,367.3089,660.2346,194.0026,0.793535514,,,,,,,,,,,
0.6,367.3089,660.2346,199.4684,0.792416484,,,,,,,,,,,
0.6,367.3089,660.2346,199.9801,0.792317594,,,,,,,,,,,
0.6,367.3089,662.768,70.4817,0.79479737,,,,,,,,,,,
0.6,367.3089,662.768,83.0101,0.794879897,,,,,,,,,,,
0.6,367.3089,662.768,97.452,0.796417575,,,,,,,,,,,
0.6,367.3089,662.768,104.1585,0.797763232,,,,,,,,,,,
0.6,367.3089,662.768,107.597,0.798610883,,,,,,,,,,,
0.6,367.3089,662.768,154.9268,0.808939262,,,,,,,,,,,
0.6,367.3089,662.768,160.9761,0.808239544,,,,,,,,,,,
0.6,367.3089,662.768,194.0026,0.799130812,,,,,,,,,,,
0.6,367.3089,662.768,199.4684,0.797897124,,,,,,,,,,,
0.6,367.3089,662.768,199.9801,0.797783161,,,,,,,,,,,
0.6,367.3089,668.5187,70.4817,0.804155641,,,,,,,,,,,
0.6,367.3089,668.5187,83.0101,0.801791047,,,,,,,,,,,
0.6,367.3089,668.5187,97.452,0.801119244,,,,,,,,,,,
0.6,367.3089,668.5187,104.1585,0.801845123,,,,,,,,,,,
0.6,367.3089,668.5187,107.597,0.802493702,,,,,,,,,,,
