f,d,h1,h2,T(1)
0.444,367.3089,662.768,104.1585,0.812336143
0.444,367.3089,662.768,107.597,0.804181698
0.444,367.3089,662.768,154.9268,0.666527112
0.444,367.3089,662.768,160.9761,0.661581598
0.444,367.3089,662.768,194.0026,0.736235191
0.444,367.3089,662.768,199.4684,0.760316236
0.444,367.3089,662.768,199.9801,0.76258363
0.444,367.3089,668.5187,70.4817,0.824865421
0.444,367.3089,668.5187,83.0101,0.821238313
0.444,367.3089,668.5187,97.452,0.797427042
0.444,367.3089,668.5187,104.1585,0.783358046
0.444,367.3089,668.5187,107.597,0.775574549
0.444,367.3089,668.5187,154.9268,0.67389104
0.444,367.3089,668.5187,160.9761,0.67460591
0.444,367.3089,668.5187,194.0026,0.765192543
0.444,367.3089,668.5187,199.4684,0.786111584
0.444,367.3089,668.5187,199.9801,0.787950555
0.444,367.3089,684.3943,70.4817,0.783215834
0.444,367.3089,684.3943,83.0101,0.750660409
0.444,367.3089,684.3943,97.452,0.72258471
0.444,367.3089,684.3943,104.1585,0.713137094
0.444,367.3089,684.3943,107.597,0.709016636
0.444,367.3089,684.3943,154.9268,0.715882015
0.444,367.3089,684.3943,160.9761,0.730692877
0.444,367.3089,684.3943,194.0026,0.816561845
0.444,367.3089,684.3943,199.4684,0.816647634
0.444,367.3089,684.3943,199.9801,0.816335703
0.444,367.3089,689.3509,70.4817,0.761513811
0.444,367.3089,689.3509,83.0101,0.727244772
0.444,367.3089,689.3509,97.452,0.702277261
0.444,367.3089,689.3509,104.1585,0.695448176
0.444,367.3089,689.3509,107.597,0.692929821
0.444,367.3089,689.3509,154.9268,0.734559699
0.444,367.3089,689.3509,160.9761,0.75260306
0.444,367.3089,689.3509,194.0026,0.818442277
0.444,367.3089,689.3509,199.4684,0.810644149
0.444,367.3089,689.3509,199.9801,0.809626534
0.444,367.3089,692.6676,70.4817,0.746166316
0.444,367.3089,692.6676,83.0101,0.712093152
0.444,367.3089,692.6676,97.452,0.689810761
0.444,367.3089,692.6676,104.1585,0.684908141
0.444,367.3089,692.6676,107.597,0.683541029
0.444,367.3089,692.6676,154.9268,0.748048622
0.444,367.3089,692.6676,160.9761,0.767659132
0.444,367.3089,692.6676,194.0026,0.815491806
