lambda (nm),n,alpha (deg),f,TE
1300,1.1,36,0.4,0.875540567
1300,1.1,36,0.42,0.895843522
1300,1.1,36,0.44,0.908430466
1300,1.1,36,0.46,0.908157398
1300,1.1,36,0.48,0.892634512
1300,1.1,36,0.5,0.863132695
1300,1.1,38,0.3,0.726290391
1300,1.1,38,0.32,0.730144404
1300,1.1,38,0.34,0.74314682
1300,1.1,38,0.36,0.76539152
1300,1.1,38,0.38,0.793844727
1300,1.1,38,0.4,0.820682925
1300,1.1,38,0.42,0.833101589
1300,1.1,38,0.44,0.817572119
1300,1.1,38,0.46,0.767607737
1300,1.1,38,0.48,0.688186804
1300,1.1,38,0.5,0.59205387
1300,1.1,40,0.3,0.621264829
1300,1.1,40,0.32,0.615300587
1300,1.1,40,0.34,0.616411275
1300,1.1,40,0.36,0.625549907
1300,1.1,40,0.38,0.642670108
1300,1.1,40,0.4,0.666370234
1300,1.1,40,0.42,0.693338422
1300,1.1,40,0.44,0.718714797
1300,1.1,40,0.46,0.736710379
1300,1.1,40,0.48,0.742461101
1300,1.1,40,0.5,0.733793819
1300,1.1,42,0.3,0.516726552
1300,1.1,42,0.32,0.5097783
1300,1.1,42,0.34,0.511302423
1300,1.1,42,0.36,0.522606588
1300,1.1,42,0.38,0.543945922
1300,1.1,42,0.4,0.573765277
1300,1.1,42,0.42,0.607503509
1300,1.1,42,0.44,0.637569179
1300,1.1,42,0.46,0.654574849
1300,1.1,42,0.48,0.651267127
1300,1.1,42,0.5,0.625875128
1300,1.1,44,0.3,0.41247663
1300,1.1,44,0.32,0.403651905
1300,1.1,44,0.34,0.404587476
1300,1.1,44,0.36,0.417433172
1300,1.1,44,0.38,0.44350093
1300,1.1,44,0.4,0.481567213
1300,1.1,44,0.42,0.524307242
1300,1.1,44,0.44,0.555526147
1300,1.1,44,0.46,0.553377725
1300,1.1,44,0.48,0.504402815
1300,1.1,44,0.5,0.413575959
1300,1.1,46,0.3,0.311371953
1300,1.1,46,0.32,0.300625175
1300,1.1,46,0.34,0.302380936
1300,1.1,46,0.36,0.321710117
1300,1.1,46,0.38,0.361530383
1300,1.1,46,0.4,0.399719134
1300,1.1,46,0.42,0.346207654
1300,1.1,46,0.44,0.187026405
1300,1.1,46,0.46,0.066856343
1300,1.1,46,0.48,0.01498695
1300,1.1,46,0.5,0.004197383
1300,1.1,48,0.3,0.125472281
1300,1.1,48,0.32,0.003472266
1300,1.1,48,0.34,0.079647557
1300,1.1,48,0.36,0.109451651
1300,1.1,48,0.38,0.104783895
1300,1.1,48,0.4,0.09545751
1300,1.1,48,0.42,0.087702213
1300,1.1,48,0.44,0.083321899
1300,1.1,48,0.46,0.083000133
1300,1.1,48,0.48,0.08715153
1300,1.1,48,0.5,0.095859621
1300,1.1,50,0.3,0.178228864
1300,1.1,50,0.32,0.155538779
1300,1.1,50,0.34,0.135770396
1300,1.1,50,0.36,0.119098804
1300,1.1,50,0.38,0.105584116
1300,1.1,50,0.4,0.095139137
1300,1.1,50,0.42,0.087628055
1300,1.1,50,0.44,0.082940036
1300,1.1,50,0.46,0.08085459
1300,1.1,50,0.48,0.080988704
1300,1.1,50,0.5,0.082671805
1300,1.2,30,0.3,0.901935909
1300,1.2,30,0.32,0.890973225
