lambda (nm),n,alpha (deg),f,TE
1500,1.3,36,0.4,0.906739046
1500,1.3,36,0.42,0.916045193
1500,1.3,36,0.44,0.925597896
1500,1.3,36,0.46,0.93431684
1500,1.3,36,0.48,0.941183867
1500,1.3,36,0.5,0.945162607
1500,1.3,38,0.3,0.89164742
1500,1.3,38,0.32,0.88478159
1500,1.3,38,0.34,0.881763516
1500,1.3,38,0.36,0.882710528
1500,1.3,38,0.38,0.886835537
1500,1.3,38,0.4,0.893430762
1500,1.3,38,0.42,0.901414504
1500,1.3,38,0.44,0.909823122
1500,1.3,38,0.46,0.917721776
1500,1.3,38,0.48,0.924173539
1500,1.3,38,0.5,0.92818784
1500,1.3,40,0.3,0.867876097
1500,1.3,40,0.32,0.860380953
1500,1.3,40,0.34,0.856413254
1500,1.3,40,0.36,0.856107797
1500,1.3,40,0.38,0.858770878
1500,1.3,40,0.4,0.863787272
1500,1.3,40,0.42,0.870233324
1500,1.3,40,0.44,0.877286661
1500,1.3,40,0.46,0.884196208
1500,1.3,40,0.48,0.890146
1500,1.3,40,0.5,0.894229814
1500,1.3,42,0.3,0.830021185
1500,1.3,42,0.32,0.822094284
1500,1.3,42,0.34,0.817323304
1500,1.3,42,0.36,0.815848519
1500,1.3,42,0.38,0.817075296
1500,1.3,42,0.4,0.820479258
1500,1.3,42,0.42,0.825310766
1500,1.3,42,0.44,0.830905104
1500,1.3,42,0.46,0.836721207
1500,1.3,42,0.48,0.842095953
1500,1.3,42,0.5,0.846243428
1500,1.3,44,0.3,0.780111349
1500,1.3,44,0.32,0.772080458
1500,1.3,44,0.34,0.766808583
1500,1.3,44,0.36,0.764426144
1500,1.3,44,0.38,0.764431826
1500,1.3,44,0.4,0.766380614
1500,1.3,44,0.42,0.769696579
1500,1.3,44,0.44,0.773875468
1500,1.3,44,0.46,0.778596925
1500,1.3,44,0.48,0.78337182
1500,1.3,44,0.5,0.787565032
1500,1.3,46,0.3,0.720261545
1500,1.3,46,0.32,0.712540992
1500,1.3,46,0.34,0.707190585
1500,1.3,46,0.36,0.704314325
1500,1.3,46,0.38,0.703487825
1500,1.3,46,0.4,0.704324252
1500,1.3,46,0.42,0.706403748
1500,1.3,46,0.44,0.709370435
1500,1.3,46,0.46,0.71311792
1500,1.3,46,0.48,0.717339991
1500,1.3,46,0.5,0.721574727
1500,1.3,48,0.3,0.652687181
1500,1.3,48,0.32,0.645698856
1500,1.3,48,0.34,0.640737522
1500,1.3,48,0.36,0.637866941
1500,1.3,48,0.38,0.636715886
1500,1.3,48,0.4,0.636926742
1500,1.3,48,0.42,0.638201232
1500,1.3,48,0.44,0.640304475
1500,1.3,48,0.46,0.643318961
1500,1.3,48,0.48,0.647117207
1500,1.3,48,0.5,0.651422628
1500,1.3,50,0.3,0.579761938
1500,1.3,50,0.32,0.57383583
1500,1.3,50,0.34,0.569674338
1500,1.3,50,0.36,0.567296038
1500,1.3,50,0.38,0.566358348
1500,1.3,50,0.4,0.566500784
1500,1.3,50,0.42,0.567498019
1500,1.3,50,0.44,0.569193788
1500,1.3,50,0.46,0.571815772
1500,1.3,50,0.48,0.575396826
1500,1.3,50,0.5,0.579845585
1500,1.4,30,0.3,0.812103246
1500,1.4,30,0.32,0.805767898
1500,1.4,30,0.34,0.805082935
1500,1.4,30,0.36,0.809840843
1500,1.4,30,0.38,0.819125875
1500,1.4,30,0.4,0.831718105
1500,1.4,30,0.42,0.846196638
1500,1.4,30,0.44,0.8611907
1500,1.4,30,0.46,0.875403615
1500,1.4,30,0.48,0.887832033
1500,1.4,30,0.5,0.897497863
1500,1.4,32,0.3,0.860541423
1500,1.4,32,0.32,0.853863135
1500,1.4,32,0.34,0.852802587
1500,1.4,32,0.36,0.85714617
1500,1.4,32,0.38,0.865956512
1500,1.4,32,0.4,0.878050146
1500,1.4,32,0.42,0.89201542
1500,1.4,32,0.44,0.906517099
1500,1.4,32,0.46,0.920300977
1500,1.4,32,0.48,0.93232301
1500,1.4,32,0.5,0.94155041
1500,1.4,34,0.3,0.889439052
1500,1.4,34,0.32,0.882337484
1500,1.4,34,0.34,0.880770877
1500,1.4,34,0.36,0.884539476
1500,1.4,34,0.38,0.892717768
1500,1.4,34,0.4,0.904180057
1500,1.4,34,0.42,0.917553829
1500,1.4,34,0.44,0.931557132
1500,1.4,34,0.46,0.944998627
1500,1.4,34,0.48,0.956812521
1500,1.4,34,0.5,0.965931022
1500,1.4,36,0.3,0.899471109
1500,1.4,36,0.32,0.891845952
1500,1.4,36,0.34,0.88960963
1500,1.4,36,0.36,0.892589316
1500,1.4,36,0.38,0.899902291
1500,1.4,36,0.4,0.91050082
1500,1.4,36,0.42,0.923088131
1500,1.4,36,0.44,0.936463908
1500,1.4,36,0.46,0.949531301
1500,1.4,36,0.48,0.961234614
1500,1.4,36,0.5,0.970498261
1500,1.4,38,0.3,0.891875078
1500,1.4,38,0.32,0.883666066
1500,1.4,38,0.34,0.880630851
1500,1.4,38,0.36,0.882630621
1500,1.4,38,0.38,0.888851249
1500,1.4,38,0.4,0.898339193
1500,1.4,38,0.42,0.909909363
1500,1.4,38,0.44,0.922474022
1500,1.4,38,0.46,0.935065516
1500,1.4,38,0.48,0.946676532
1500,1.4,38,0.5,0.956256186
1500,1.4,40,0.3,0.868300954
1500,1.4,40,0.32,0.859546824
1500,1.4,40,0.34,0.855685479
1500,1.4,40,0.36,0.856613077
1500,1.4,40,0.38,0.861601368
1500,1.4,40,0.4,0.869799767
1500,1.4,40,0.42,0.88016321
1500,1.4,40,0.44,0.891742889
1500,1.4,40,0.46,0.903731643
1500,1.4,40,0.48,0.915209775
1500,1.4,40,0.5,0.925187391
1500,1.4,42,0.3,0.83067442
1500,1.4,42,0.32,0.821549323
1500,1.4,42,0.34,0.816981591
1500,1.4,42,0.36,0.816897143
1500,1.4,42,0.38,0.820659797
1500,1.4,42,0.4,0.827520522
1500,1.4,42,0.42,0.836589812
1500,1.4,42,0.44,0.847074111
1500,1.4,42,0.46,0.858349658
1500,1.4,42,0.48,0.869619848
1500,1.4,42,0.5,0.879993792
1500,1.4,44,0.3,0.781083493
1500,1.4,44,0.32,0.771898393
1500,1.4,44,0.34,0.766900933
1500,1.4,44,0.36,0.766036212
1500,1.4,44,0.38,0.768754157
1500,1.4,44,0.4,0.774394559
1500,1.4,44,0.42,0.782223023
1500,1.4,44,0.44,0.791604135
1500,1.4,44,0.46,0.802108376
1500,1.4,44,0.48,0.813090168
1500,1.4,44,0.5,0.823794332
1500,1.4,46,0.3,0.721709904
1500,1.4,46,0.32,0.71287451
1500,1.4,46,0.34,0.70785073
1500,1.4,46,0.36,0.70658898
1500,1.4,46,0.38,0.708608212
1500,1.4,46,0.4,0.713313452
1500,1.4,46,0.42,0.720107713
1500,1.4,46,0.44,0.728501455
1500,1.4,46,0.46,0.738255619
1500,1.4,46,0.48,0.748893171
1500,1.4,46,0.5,0.759826393
1500,1.4,48,0.3,0.654817234
1500,1.4,48,0.32,0.646766167
1500,1.4,48,0.34,0.642177906
1500,1.4,48,0.36,0.640994954
1500,1.4,48,0.38,0.642780666
1500,1.4,48,0.4,0.646973242
1500,1.4,48,0.42,0.653078556
1500,1.4,48,0.44,0.660724839
1500,1.4,48,0.46,0.669843282
1500,1.4,48,0.48,0.680130358
1500,1.4,48,0.5,0.691188888
1500,1.4,50,0.3,0.582785673
1500,1.4,50,0.32,0.575882132
1500,1.4,50,0.34,0.572153021
1500,1.4,50,0.36,0.57152632
1500,1.4,50,0.38,0.573584471
1500,1.4,50,0.4,0.577763245
1500,1.4,50,0.42,0.583622474
1500,1.4,50,0.44,0.590864291
1500,1.4,50,0.46,0.599552155
1500,1.4,50,0.48,0.609546482
1500,1.4,50,0.5,0.620651752
1500,1.5,30,0.3,0.792402642
1500,1.5,30,0.32,0.782881513
1500,1.5,30,0.34,0.780204758
1500,1.5,30,0.36,0.784083275
1500,1.5,30,0.38,0.793499736
1500,1.5,30,0.4,0.807057196
1500,1.5,30,0.42,0.823267135
1500,1.5,30,0.44,0.840611
1500,1.5,30,0.46,0.857858341
1500,1.5,30,0.48,0.874036948
1500,1.5,30,0.5,0.888163162
1500,1.5,32,0.3,0.839605138
1500,1.5,32,0.32,0.829737477
1500,1.5,32,0.34,0.826686658
1500,1.5,32,0.36,0.830136315
1500,1.5,32,0.38,0.839057756
1500,1.5,32,0.4,0.852075292
1500,1.5,32,0.42,0.867738368
1500,1.5,32,0.44,0.884580826
1500,1.5,32,0.46,0.9014075
1500,1.5,32,0.48,0.917213874
1500,1.5,32,0.5,0.930944206
1500,1.5,34,0.3,0.867971561
1500,1.5,34,0.32,0.857729631
1500,1.5,34,0.34,0.854238374
1500,1.5,34,0.36,0.857178812
1500,1.5,34,0.38,0.865539739
1500,1.5,34,0.4,0.877988965
1500,1.5,34,0.42,0.893128702
1500,1.5,34,0.44,0.909555056
1500,1.5,34,0.46,0.926114075
1500,1.5,34,0.48,0.941782701
1500,1.5,34,0.5,0.955450786
1500,1.5,36,0.3,0.878019507
1500,1.5,36,0.32,0.86734918
1500,1.5,36,0.34,0.86331417
1500,1.5,36,0.36,0.86561186
1500,1.5,36,0.38,0.873274294
1500,1.5,36,0.4,0.885035757
1500,1.5,36,0.42,0.89957392
1500,1.5,36,0.44,0.915568763
1500,1.5,36,0.46,0.931926569
1500,1.5,36,0.48,0.947631148
1500,1.5,36,0.5,0.961541661
1500,1.5,38,0.3,0.87087602
1500,1.5,38,0.32,0.859754004
1500,1.5,38,0.34,0.85509599
1500,1.5,38,0.36,0.856628702
1500,1.5,38,0.38,0.863448474
1500,1.5,38,0.4,0.874376044
1500,1.5,38,0.42,0.888188821
1500,1.5,38,0.44,0.903676378
1500,1.5,38,0.46,0.919830792
1500,1.5,38,0.48,0.935675345
1500,1.5,38,0.5,0.950067972
1500,1.5,40,0.3,0.848126488
1500,1.5,40,0.32,0.836616822
1500,1.5,40,0.34,0.831342274
1500,1.5,40,0.36,0.832064664
1500,1.5,40,0.38,0.837958162
1500,1.5,40,0.4,0.847942508
1500,1.5,40,0.42,0.860914546
1500,1.5,40,0.44,0.875796579
1500,1.5,40,0.46,0.891693359
1500,1.5,40,0.48,0.907703841
1500,1.5,40,0.5,0.922720369
1500,1.5,42,0.3,0.811669186
1500,1.5,42,0.32,0.799959621
1500,1.5,42,0.34,0.79420338
1500,1.5,42,0.36,0.794195297
1500,1.5,42,0.38,0.799191149
1500,1.5,42,0.4,0.808211404
1500,1.5,42,0.42,0.820282456
1500,1.5,42,0.44,0.834474593
1500,1.5,42,0.46,0.850028871
1500,1.5,42,0.48,0.866156153
1500,1.5,42,0.5,0.881824122
1500,1.5,44,0.3,0.763588328
1500,1.5,44,0.32,0.751995017
1500,1.5,44,0.34,0.74603233
1500,1.5,44,0.36,0.745519011
1500,1.5,44,0.38,0.749785464
1500,1.5,44,0.4,0.757942204
1500,1.5,44,0.42,0.769142299
1500,1.5,44,0.44,0.782607557
1500,1.5,44,0.46,0.797731627
1500,1.5,44,0.48,0.813869723
1500,1.5,44,0.5,0.830108318
1500,1.5,46,0.3,0.70606752
1500,1.5,46,0.32,0.695003314
1500,1.5,46,0.34,0.689226013
1500,1.5,46,0.36,0.688564715
1500,1.5,46,0.38,0.692407588
1500,1.5,46,0.4,0.699932444
1500,1.5,46,0.42,0.710401328
1500,1.5,46,0.44,0.723176841
1500,1.5,46,0.46,0.737810565
1500,1.5,46,0.48,0.753826941
1500,1.5,46,0.5,0.770472872
1500,1.5,48,0.3,0.641356905
1500,1.5,48,0.32,0.63126561
1500,1.5,48,0.34,0.626123108
1500,1.5,48,0.36,0.625755331
1500,1.5,48,0.38,0.629584648
1500,1.5,48,0.4,0.636823729
1500,1.5,48,0.42,0.646810677
1500,1.5,48,0.44,0.659022314
1500,1.5,48,0.46,0.673159466
1500,1.5,48,0.48,0.688929638
1500,1.5,48,0.5,0.705775162
1500,1.5,50,0.3,0.571787244
1500,1.5,50,0.32,0.563054717
1500,1.5,50,0.34,0.558967409
1500,1.5,50,0.36,0.559340981
1500,1.5,50,0.38,0.563607924
1500,1.5,50,0.4,0.570978476
1500,1.5,50,0.42,0.580820048
1500,1.5,50,0.44,0.592680413
1500,1.5,50,0.46,0.60638424
1500,1.5,50,0.48,0.621821832
1500,1.5,50,0.5,0.638654864
1500,1.6,30,0.3,0.754829773
1500,1.6,30,0.32,0.741966231
1500,1.6,30,0.34,0.737466306
1500,1.6,30,0.36,0.740747114
1500,1.6,30,0.38,0.750780576
1500,1.6,30,0.4,0.765904039
1500,1.6,30,0.42,0.784493535
1500,1.6,30,0.44,0.804921846
1500,1.6,30,0.46,0.825988794
1500,1.6,30,0.48,0.84669182
1500,1.6,30,0.5,0.866085772
1500,1.6,32,0.3,0.799861585
1500,1.6,32,0.32,0.786565078
1500,1.6,32,0.34,0.781606278
1500,1.6,32,0.36,0.784376156
1500,1.6,32,0.38,0.793836912
1500,1.6,32,0.4,0.808357767
1500,1.6,32,0.42,0.826369894
1500,1.6,32,0.44,0.846319789
1500,1.6,32,0.46,0.867027176
1500,1.6,32,0.48,0.887452574
1500,1.6,32,0.5,0.906551377
1500,1.6,34,0.3,0.827101469
1500,1.6,34,0.32,0.813413755
1500,1.6,34,0.34,0.808003666
1500,1.6,34,0.36,0.810262341
1500,1.6,34,0.38,0.819164847
1500,1.6,34,0.4,0.833131703
1500,1.6,34,0.42,0.850650885
1500,1.6,34,0.44,0.870242042
1500,1.6,34,0.46,0.890749054
1500,1.6,34,0.48,0.911107999
1500,1.6,34,0.5,0.930199324
1500,1.6,36,0.3,0.836937754
1500,1.6,36,0.32,0.822874643
1500,1.6,36,0.34,0.816988322
1500,1.6,36,0.36,0.818689697
1500,1.6,36,0.38,0.826986851
1500,1.6,36,0.4,0.840371644
1500,1.6,36,0.42,0.857400298
1500,1.6,36,0.44,0.876676952
1500,1.6,36,0.46,0.89708841
1500,1.6,36,0.48,0.917568403
1500,1.6,36,0.5,0.936950536
1500,1.6,38,0.3,0.830386263
1500,1.6,38,0.32,0.815986718
1500,1.6,38,0.34,0.809615298
1500,1.6,38,0.36,0.810716222
1500,1.6,38,0.38,0.818346931
1500,1.6,38,0.4,0.831088201
1500,1.6,38,0.42,0.84758017
1500,1.6,38,0.44,0.866528488
1500,1.6,38,0.46,0.886889869
1500,1.6,38,0.48,0.907624799
1500,1.6,38,0.5,0.927552743
1500,1.6,40,0.3,0.808941619
1500,1.6,40,0.32,0.7943171
1500,1.6,40,0.34,0.787518579
1500,1.6,40,0.36,0.788030455
1500,1.6,40,0.38,0.794969429
1500,1.6,40,0.4,0.807016412
1500,1.6,40,0.42,0.822909728
1500,1.6,40,0.44,0.841473993
1500,1.6,40,0.46,0.861766161
1500,1.6,40,0.48,0.88280789
1500,1.6,40,0.5,0.90344356
1500,1.6,42,0.3,0.774429957
1500,1.6,42,0.32,0.759797337
1500,1.6,42,0.34,0.752733204
1500,1.6,42,0.36,0.752761907
1500,1.6,42,0.38,0.75906072
1500,1.6,42,0.4,0.770412373
1500,1.6,42,0.42,0.785661303
1500,1.6,42,0.44,0.803764503
1500,1.6,42,0.46,0.823908316
1500,1.6,42,0.48,0.84521306
1500,1.6,42,0.5,0.86659377
1500,1.6,44,0.3,0.72887634
1500,1.6,44,0.32,0.714564068
1500,1.6,44,0.34,0.707511599
1500,1.6,44,0.36,0.707276589
1500,1.6,44,0.38,0.713088812
1500,1.6,44,0.4,0.72382314
1500,1.6,44,0.42,0.738427944
1500,1.6,44,0.44,0.755998033
1500,1.6,44,0.46,0.775872674
1500,1.6,44,0.48,0.79730801
1500,1.6,44,0.5,0.81934015
1500,1.6,46,0.3,0.674407652
1500,1.6,46,0.32,0.660830295
1500,1.6,46,0.34,0.65416509
1500,1.6,46,0.36,0.653992131
1500,1.6,46,0.38,0.659577211
1500,1.6,46,0.4,0.669866116
1500,1.6,46,0.42,0.683896285
1500,1.6,46,0.44,0.700894529
1500,1.6,46,0.46,0.720366669
1500,1.6,46,0.48,0.741737393
1500,1.6,46,0.5,0.764214734
1500,1.6,48,0.3,0.613204267
1500,1.6,48,0.32,0.600806366
1500,1.6,48,0.34,0.594954319
1500,1.6,48,0.36,0.59523948
1500,1.6,48,0.38,0.600941865
1500,1.6,48,0.4,0.611046935
1500,1.6,48,0.42,0.624652366
1500,1.6,48,0.44,0.641097128
1500,1.6,48,0.46,0.660053576
1500,1.6,48,0.48,0.681138948
1500,1.6,48,0.5,0.703779101
1500,1.6,50,0.3,0.547496608
1500,1.6,50,0.32,0.536674075
1500,1.6,50,0.34,0.532037798
1500,1.6,50,0.36,0.53318462
1500,1.6,50,0.38,0.53938734
1500,1.6,50,0.4,0.549633624
1500,1.6,50,0.42,0.563038814
1500,1.6,50,0.44,0.579017996
1500,1.6,50,0.46,0.597393207
1500,1.6,50,0.48,0.617985738
1500,1.6,50,0.5,0.640474948
1500,1.7,30,0.3,0.703144599
1500,1.7,30,0.32,0.688157638
1500,1.7,30,0.34,0.683205403
1500,1.7,30,0.36,0.687520986
1500,1.7,30,0.38,0.699781604
1500,1.7,30,0.4,0.718064103
1500,1.7,30,0.42,0.740494111
1500,1.7,30,0.44,0.765406974
1500,1.7,30,0.46,0.791556352
1500,1.7,30,0.48,0.818048345
1500,1.7,30,0.5,0.843875762
1500,1.7,32,0.3,0.745222402
1500,1.7,32,0.32,0.729703052
1500,1.7,32,0.34,0.724216086
1500,1.7,32,0.36,0.727961615
1500,1.7,32,0.38,0.739622844
1500,1.7,32,0.4,0.757309145
1500,1.7,32,0.42,0.779231994
1500,1.7,32,0.44,0.803793531
1500,1.7,32,0.46,0.829769782
1500,1.7,32,0.48,0.856185
1500,1.7,32,0.5,0.881900313
1500,1.7,34,0.3,0.770785059
1500,1.7,34,0.32,0.754824907
1500,1.7,34,0.34,0.748853501
1500,1.7,34,0.36,0.752064766
1500,1.7,34,0.38,0.763169035
1500,1.7,34,0.4,0.780320389
1500,1.7,34,0.42,0.801813039
1500,1.7,34,0.44,0.826111407
1500,1.7,34,0.46,0.852015999
1500,1.7,34,0.48,0.878490968
1500,1.7,34,0.5,0.904298699
1500,1.7,36,0.3,0.780125647
1500,1.7,36,0.32,0.763795722
1500,1.7,36,0.34,0.757365528
1500,1.7,36,0.36,0.760042534
1500,1.7,36,0.38,0.770581572
1500,1.7,36,0.4,0.787196217
1500,1.7,36,0.42,0.808270299
1500,1.7,36,0.44,0.832340006
1500,1.7,36,0.46,0.858246084
1500,1.7,36,0.48,0.884923243
1500,1.7,36,0.5,0.911068859
1500,1.7,38,0.3,0.774158649
1500,1.7,38,0.32,0.757548379
1500,1.7,38,0.34,0.750696532
1500,1.7,38,0.36,0.752838137
1500,1.7,38,0.38,0.762785647
1500,1.7,38,0.4,0.778826826
1500,1.7,38,0.42,0.799446847
1500,1.7,38,0.44,0.823270836
1500,1.7,38,0.46,0.849204309
1500,1.7,38,0.48,0.87618975
1500,1.7,38,0.5,0.902896592
1500,1.7,40,0.3,0.754276732
1500,1.7,40,0.32,0.737534336
1500,1.7,40,0.34,0.730349284
1500,1.7,40,0.36,0.731992104
1500,1.7,40,0.38,0.741339844
1500,1.7,40,0.4,0.756765448
1500,1.7,40,0.42,0.776866926
1500,1.7,40,0.44,0.800378096
1500,1.7,40,0.46,0.826298947
1500,1.7,40,0.48,0.853622451
1500,1.7,40,0.5,0.881033432
1500,1.7,42,0.3,0.722206889
1500,1.7,42,0.32,0.705567362
1500,1.7,42,0.34,0.698219075
1500,1.7,42,0.36,0.699469493
1500,1.7,42,0.38,0.708259442
1500,1.7,42,0.4,0.723051049
1500,1.7,42,0.42,0.742561885
1500,1.7,42,0.44,0.765652234
1500,1.7,42,0.46,0.791447792
1500,1.7,42,0.48,0.819038568
1500,1.7,42,0.5,0.847175539
1500,1.7,44,0.3,0.67987834
1500,1.7,44,0.32,0.663670079
1500,1.7,44,0.34,0.656421918
1500,1.7,44,0.36,0.657473712
1500,1.7,44,0.38,0.665820891
1500,1.7,44,0.4,0.680009514
1500,1.7,44,0.42,0.698874842
1500,1.7,44,0.44,0.721415199
1500,1.7,44,0.46,0.746910566
1500,1.7,44,0.48,0.774595261
1500,1.7,44,0.5,0.803343014
1500,1.7,46,0.3,0.629320682
1500,1.7,46,0.32,0.613945942
1500,1.7,46,0.34,0.607142825
1500,1.7,46,0.36,0.60827499
1500,1.7,46,0.38,0.616375853
1500,1.7,46,0.4,0.630059922
1500,1.7,46,0.42,0.64826678
1500,1.7,46,0.44,0.670134345
1500,1.7,46,0.46,0.695118277
1500,1.7,46,0.48,0.722640858
1500,1.7,46,0.5,0.75175679
1500,1.7,48,0.3,0.572604752
1500,1.7,48,0.32,0.558493674
1500,1.7,48,0.34,0.552524664
1500,1.7,48,0.36,0.55407613
1500,1.7,48,0.38,0.562198105
1500,1.7,48,0.4,0.575548373
1500,1.7,48,0.42,0.593144094
1500,1.7,48,0.44,0.614251042
1500,1.7,48,0.46,0.638510483
1500,1.7,48,0.48,0.665567924
1500,1.7,48,0.5,0.694713088
1500,1.7,50,0.3,0.511824581
1500,1.7,50,0.32,0.499368546
1500,1.7,50,0.34,0.494606745
1500,1.7,50,0.36,0.496928037
1500,1.7,50,0.38,0.505377824
1500,1.7,50,0.4,0.518624805
1500,1.7,50,0.42,0.535722967
1500,1.7,50,0.44,0.556038315
1500,1.7,50,0.46,0.579392543
1500,1.7,50,0.48,0.605676986
1500,1.7,50,0.5,0.634460444
1500,1.8,30,0.3,0.641304146
1500,1.8,30,0.32,0.626212357
1500,1.8,30,0.34,0.622976767
1500,1.8,30,0.36,0.630404745
1500,1.8,30,0.38,0.646827361
1500,1.8,30,0.4,0.669909503
1500,1.8,30,0.42,0.697607398
1500,1.8,30,0.44,0.728221616
1500,1.8,30,0.46,0.760556042
1500,1.8,30,0.48,0.793891089
1500,1.8,30,0.5,0.827129144
1500,1.8,32,0.3,0.679848749
1500,1.8,32,0.32,0.664174063
1500,1.8,32,0.34,0.660391849
1500,1.8,32,0.36,0.667269955
1500,1.8,32,0.38,0.683149089
1500,1.8,32,0.4,0.705752651
1500,1.8,32,0.42,0.733126329
1500,1.8,32,0.44,0.763637682
1500,1.8,32,0.46,0.796097646
1500,1.8,32,0.48,0.829663967
1500,1.8,32,0.5,0.863048495
1500,1.8,34,0.3,0.70327537
1500,1.8,34,0.32,0.687116385
1500,1.8,34,0.34,0.682829037
1500,1.8,34,0.36,0.689173879
1500,1.8,34,0.38,0.704520294
1500,1.8,34,0.4,0.726661261
1500,1.8,34,0.42,0.753724975
1500,1.8,34,0.44,0.784140277
1500,1.8,34,0.46,0.816732776
1500,1.8,34,0.48,0.850566748
1500,1.8,34,0.5,0.884212395
1500,1.8,36,0.3,0.71181281
1500,1.8,36,0.32,0.695254698
1500,1.8,36,0.34,0.690487443
1500,1.8,36,0.36,0.69628796
1500,1.8,36,0.38,0.711069871
1500,1.8,36,0.4,0.732709912
1500,1.8,36,0.42,0.759424595
1500,1.8,36,0.44,0.789713601
1500,1.8,36,0.46,0.822437859
1500,1.8,36,0.48,0.856604443
1500,1.8,36,0.5,0.890688697
1500,1.8,38,0.3,0.70628968
1500,1.8,38,0.32,0.689434113
1500,1.8,38,0.34,0.684222293
1500,1.8,38,0.36,0.689464509
1500,1.8,38,0.38,0.703630832
1500,1.8,38,0.4,0.724696354
1500,1.8,38,0.42,0.750978727
1500,1.8,38,0.44,0.781067146
1500,1.8,38,0.46,0.813887111
1500,1.8,38,0.48,0.848430746
1500,1.8,38,0.5,0.883126253
1500,1.8,40,0.3,0.687998914
1500,1.8,40,0.32,0.670996588
1500,1.8,40,0.34,0.665416865
1500,1.8,40,0.36,0.670113813
1500,1.8,40,0.38,0.683621329
1500,1.8,40,0.4,0.704024274
1500,1.8,40,0.42,0.729755999
1500,1.8,40,0.44,0.759518132
1500,1.8,40,0.46,0.79233565
1500,1.8,40,0.48,0.827233899
1500,1.8,40,0.5,0.862646425
1500,1.8,42,0.3,0.658560435
1500,1.8,42,0.32,0.641634715
1500,1.8,42,0.34,0.635830183
1500,1.8,42,0.36,0.640048384
1500,1.8,42,0.38,0.652888043
1500,1.8,42,0.4,0.672548685
1500,1.8,42,0.42,0.69759085
1500,1.8,42,0.44,0.726851351
1500,1.8,42,0.46,0.759491965
1500,1.8,42,0.48,0.794624384
1500,1.8,42,0.5,0.830747093
1500,1.8,44,0.3,0.619792916
1500,1.8,44,0.32,0.6032469
1500,1.8,44,0.34,0.597438699
1500,1.8,44,0.36,0.601315041
1500,1.8,44,0.38,0.613533373
1500,1.8,44,0.4,0.63240382
1500,1.8,44,0.42,0.656618305
1500,1.8,44,0.44,0.685167066
1500,1.8,44,0.46,0.717384282
1500,1.8,44,0.48,0.752523229
1500,1.8,44,0.5,0.789213564
1500,1.8,46,0.3,0.573610569
1500,1.8,46,0.32,0.557813013
1500,1.8,46,0.34,0.552293406
1500,1.8,46,0.36,0.556037372
1500,1.8,46,0.38,0.567748355
1500,1.8,46,0.4,0.585832848
1500,1.8,46,0.42,0.609107576
1500,1.8,46,0.44,0.636725844
1500,1.8,46,0.46,0.668223313
1500,1.8,46,0.48,0.703047609
1500,1.8,46,0.5,0.740028853
1500,1.8,48,0.3,0.521956219
1500,1.8,48,0.32,0.507305299
1500,1.8,48,0.34,0.5024098
1500,1.8,48,0.36,0.506287355
1500,1.8,48,0.38,0.517670053
1500,1.8,48,0.4,0.53503657
1500,1.8,48,0.42,0.557308607
1500,1.8,48,0.44,0.583800038
1500,1.8,48,0.46,0.614265911
1500,1.8,48,0.48,0.648393124
1500,1.8,48,0.5,0.685278591
1500,1.8,50,0.3,0.466770744
1500,1.8,50,0.32,0.453639498
1500,1.8,50,0.34,0.449699473
1500,1.8,50,0.36,0.453997546
1500,1.8,50,0.38,0.465276327
1500,1.8,50,0.4,0.482054427
1500,1.8,50,0.42,0.503324227
1500,1.8,50,0.44,0.5285428
1500,1.8,50,0.46,0.557687627
1500,1.8,50,0.48,0.590716981
1500,1.8,50,0.5,0.627051041
1500,1.9,30,0.3,0.572815643
1500,1.9,30,0.32,0.560030137
1500,1.9,30,0.34,0.560704901
1500,1.9,30,0.36,0.573229205
1500,1.9,30,0.38,0.595335668
1500,1.9,30,0.4,0.624424742
1500,1.9,30,0.42,0.658195088
1500,1.9,30,0.44,0.695087885
1500,1.9,30,0.46,0.734412017
1500,1.9,30,0.48,0.775427199
1500,1.9,30,0.5,0.816840842
1500,1.9,32,0.3,0.607436804
1500,1.9,32,0.32,0.594096655
1500,1.9,32,0.34,0.594295194
1500,1.9,32,0.36,0.606375365
1500,1.9,32,0.38,0.628086606
1500,1.9,32,0.4,0.656910331
1500,1.9,32,0.42,0.690659441
1500,1.9,32,0.44,0.727834928
1500,1.9,32,0.46,0.767697995
1500,1.9,32,0.48,0.809332322
1500,1.9,32,0.5,0.851204594
1500,1.9,34,0.3,0.628373072
1500,1.9,34,0.32,0.614536138
1500,1.9,34,0.34,0.614243895
1500,1.9,34,0.36,0.625828024
1500,1.9,34,0.38,0.647081551
1500,1.9,34,0.4,0.675571715
1500,1.9,34,0.42,0.709220034
1500,1.9,34,0.44,0.746579144
1500,1.9,34,0.46,0.786876773
1500,1.9,34,0.48,0.829063929
1500,1.9,34,0.5,0.871423319
1500,1.9,36,0.3,0.635813459
1500,1.9,36,0.32,0.621531058
1500,1.9,36,0.34,0.620723618
1500,1.9,36,0.36,0.631736901
1500,1.9,36,0.38,0.652430582
1500,1.9,36,0.4,0.680469174
1500,1.9,36,0.42,0.713891018
1500,1.9,36,0.44,0.751309035
1500,1.9,36,0.46,0.791945041
1500,1.9,36,0.48,0.834665263
1500,1.9,36,0.5,0.87761822
1500,1.9,38,0.3,0.630516886
1500,1.9,38,0.32,0.615857019
1500,1.9,38,0.34,0.614519948
