lambda,n,angle,h,TM
1300,1.1,56,3000,4.80E-04
1300,1.1,56,3200,5.75E-04
1300,1.1,56,3400,6.79E-04
1300,1.1,56,3600,7.92E-04
1300,1.1,56,3800,9.12E-04
1300,1.1,56,4000,0.001043038
1300,1.1,58,2000,1.43E-04
1300,1.1,58,2200,1.95E-04
1300,1.1,58,2400,2.58E-04
1300,1.1,58,2600,3.30E-04
1300,1.1,58,2800,4.13E-04
1300,1.1,58,3000,5.09E-04
1300,1.1,58,3200,6.12E-04
1300,1.1,58,3400,7.21E-04
1300,1.1,58,3600,8.35E-04
1300,1.1,58,3800,9.53E-04
1300,1.1,58,4000,0.00107473
1300,1.1,60,2000,1.48E-04
1300,1.1,60,2200,2.06E-04
1300,1.1,60,2400,2.77E-04
1300,1.1,60,2600,3.57E-04
1300,1.1,60,2800,4.48E-04
1300,1.1,60,3000,5.49E-04
1300,1.1,60,3200,6.54E-04
1300,1.1,60,3400,7.62E-04
1300,1.1,60,3600,8.67E-04
1300,1.1,60,3800,9.69E-04
1300,1.1,60,4000,0.001067157
1300,1.1,62,2000,1.64E-04
1300,1.1,62,2200,2.30E-04
1300,1.1,62,2400,3.09E-04
1300,1.1,62,2600,3.97E-04
1300,1.1,62,2800,4.91E-04
1300,1.1,62,3000,5.93E-04
1300,1.1,62,3200,6.93E-04
1300,1.1,62,3400,7.89E-04
1300,1.1,62,3600,8.75E-04
1300,1.1,62,3800,9.50E-04
1300,1.1,62,4000,0.001010163
1300,1.1,64,2000,1.92E-04
1300,1.1,64,2200,2.67E-04
1300,1.1,64,2400,3.53E-04
1300,1.1,64,2600,4.45E-04
1300,1.1,64,2800,5.39E-04
1300,1.1,64,3000,6.34E-04
1300,1.1,64,3200,7.19E-04
1300,1.1,64,3400,7.95E-04
1300,1.1,64,3600,8.52E-04
1300,1.1,64,3800,8.89E-04
1300,1.1,64,4000,9.04E-04
1300,1.1,66,2000,2.32E-04
1300,1.1,66,2200,3.14E-04
1300,1.1,66,2400,4.04E-04
1300,1.1,66,2600,4.96E-04
1300,1.1,66,2800,5.84E-04
1300,1.1,66,3000,6.64E-04
1300,1.1,66,3200,7.27E-04
1300,1.1,66,3400,7.73E-04
1300,1.1,66,3600,7.94E-04
1300,1.1,66,3800,7.89E-04
1300,1.1,66,4000,7.60E-04
1300,1.1,68,2000,2.82E-04
1300,1.1,68,2200,3.69E-04
1300,1.1,68,2400,4.59E-04
1300,1.1,68,2600,5.46E-04
1300,1.1,68,2800,6.21E-04
1300,1.1,68,3000,6.78E-04
1300,1.1,68,3200,7.11E-04
1300,1.1,68,3400,7.23E-04
1300,1.1,68,3600,7.05E-04
1300,1.1,68,3800,6.63E-04
1300,1.1,68,4000,5.97E-04
1300,1.1,70,2000,3.41E-04
1300,1.1,70,2200,4.28E-04
1300,1.1,70,2400,5.14E-04
1300,1.1,70,2600,5.89E-04
1300,1.1,70,2800,6.44E-04
1300,1.1,70,3000,6.74E-04
1300,1.1,70,3200,6.74E-04
1300,1.1,70,3400,6.50E-04
1300,1.1,70,3600,5.97E-04
1300,1.1,70,3800,5.24E-04
1300,1.1,70,4000,4.35E-04
1300,1.2,50,2000,0.005103648
1300,1.2,50,2200,0.006170726
1300,1.2,50,2400,0.007350181
1300,1.2,50,2600,0.008644875
1300,1.2,50,2800,0.010029003
1300,1.2,50,3000,0.011513681
1300,1.2,50,3200,0.01311394
1300,1.2,50,3400,0.014825294
1300,1.2,50,3600,0.016641894
1300,1.2,50,3800,0.018556295
1300,1.2,50,4000,0.020589023
1300,1.2,52,2000,0.0049456
1300,1.2,52,2200,0.005992173
1300,1.2,52,2400,0.007148032
1300,1.2,52,2600,0.008428093
1300,1.2,52,2800,0.009801378
1300,1.2,52,3000,0.011275802
1300,1.2,52,3200,0.012866314
1300,1.2,52,3400,0.014575023
1300,1.2,52,3600,0.016390358
1300,1.2,52,3800,0.018302807
1300,1.2,52,4000,0.020330593
1300,1.2,54,2000,0.004750816
1300,1.2,54,2200,0.005774983
1300,1.2,54,2400,0.00690802
1300,1.2,54,2600,0.008172656
1300,1.2,54,2800,0.009533821
1300,1.2,54,3000,0.010995134
1300,1.2,54,3200,0.012570775
1300,1.2,54,3400,0.014264363
1300,1.2,54,3600,0.016057821
1300,1.2,54,3800,0.017936428
1300,1.2,54,4000,0.019913939
1300,1.2,56,2000,0.004539193
1300,1.2,56,2200,0.005543918
1300,1.2,56,2400,0.006659354
1300,1.2,56,2600,0.007910757
1300,1.2,56,2800,0.009259906
1300,1.2,56,3000,0.010704198
1300,1.2,56,3200,0.012254776
1300,1.2,56,3400,0.013911231
1300,1.2,56,3600,0.015647212
1300,1.2,56,3800,0.017439699
1300,1.2,56,4000,0.019294135
1300,1.2,58,2000,0.004329381
1300,1.2,58,2200,0.005321407
1300,1.2,58,2400,0.006427127
1300,1.2,58,2600,0.007668759
1300,1.2,58,2800,0.009005141
1300,1.2,58,3000,0.010424891
1300,1.2,58,3200,0.011932873
1300,1.2,58,3400,0.013519664
1300,1.2,58,3600,0.015148918
1300,1.2,58,3800,0.016787291
1300,1.2,58,4000,0.018428361
1300,1.2,60,2000,0.004137429
