lambda,n,angle,h,TM
1400,1.4,64,3600,0.123013819
1400,1.4,64,3800,0.139831109
1400,1.4,64,4000,0.157608668
1400,1.4,66,2000,0.028207557
1400,1.4,66,2200,0.036108579
1400,1.4,66,2400,0.04554235
1400,1.4,66,2600,0.056512725
1400,1.4,66,2800,0.068716213
1400,1.4,66,3000,0.082059294
1400,1.4,66,3200,0.096753234
1400,1.4,66,3400,0.112603809
1400,1.4,66,3600,0.12898734
1400,1.4,66,3800,0.145590504
1400,1.4,66,4000,0.16272907
1400,1.4,68,2000,0.02897657
1400,1.4,68,2200,0.037418522
1400,1.4,68,2400,0.047490228
1400,1.4,68,2600,0.059158029
1400,1.4,68,2800,0.072006859
1400,1.4,68,3000,0.08586467
1400,1.4,68,3200,0.100931662
1400,1.4,68,3400,0.116920676
1400,1.4,68,3600,0.132971044
1400,1.4,68,3800,0.148612293
1400,1.4,68,4000,0.164216217
1400,1.4,70,2000,0.029715473
1400,1.4,70,2200,0.038656887
1400,1.4,70,2400,0.049297017
1400,1.4,70,2600,0.061544005
1400,1.4,70,2800,0.074839684
1400,1.4,70,3000,0.088916813
1400,1.4,70,3200,0.103978962
1400,1.4,70,3400,0.119673002
1400,1.4,70,3600,0.134890706
1400,1.4,70,3800,0.148962532
1400,1.4,70,4000,0.162321174
1400,1.5,50,2000,0.073177649
1400,1.5,50,2200,0.088217733
1400,1.5,50,2400,0.105001863
1400,1.5,50,2600,0.122197335
1400,1.5,50,2800,0.140076646
1400,1.5,50,3000,0.15984731
1400,1.5,50,3200,0.180939175
1400,1.5,50,3400,0.202236323
1400,1.5,50,3600,0.22429537
1400,1.5,50,3800,0.24786131
1400,1.5,50,4000,0.272347549
1400,1.5,52,2000,0.073295378
1400,1.5,52,2200,0.088298804
1400,1.5,52,2400,0.10501447
1400,1.5,52,2600,0.122248537
1400,1.5,52,2800,0.140179158
1400,1.5,52,3000,0.159890981
1400,1.5,52,3200,0.180905282
1400,1.5,52,3400,0.202221693
1400,1.5,52,3600,0.224290392
1400,1.5,52,3800,0.247764292
1400,1.5,52,4000,0.272161974
1400,1.5,54,2000,0.073527153
1400,1.5,54,2200,0.088661744
1400,1.5,54,2400,0.105594343
1400,1.5,54,2600,0.123263482
1400,1.5,54,2800,0.141710783
1400,1.5,54,3000,0.161924326
1400,1.5,54,3200,0.183594098
1400,1.5,54,3400,0.205829159
1400,1.5,54,3600,0.228915098
1400,1.5,54,3800,0.253430135
1400,1.5,54,4000,0.279072746
1400,1.5,56,2000,0.073864583
1400,1.5,56,2200,0.089280579
1400,1.5,56,2400,0.106661116
1400,1.5,56,2600,0.125070072
1400,1.5,56,2800,0.144401971
1400,1.5,56,3000,0.165557969
1400,1.5,56,3200,0.188414921
1400,1.5,56,3400,0.212186739
1400,1.5,56,3600,0.236987374
1400,1.5,56,3800,0.263303223
1400,1.5,56,4000,0.290994987
1400,1.5,58,2000,0.074295621
1400,1.5,58,2200,0.090120774
1400,1.5,58,2400,0.108119955
1400,1.5,58,2600,0.127472399
1400,1.5,58,2800,0.147938161
1400,1.5,58,3000,0.170324039
1400,1.5,58,3200,0.194654788
1400,1.5,58,3400,0.220235379
1400,1.5,58,3600,0.247043596
1400,1.5,58,3800,0.275433079
1400,1.5,58,4000,0.305313648
1400,1.5,60,2000,0.074803075
1400,1.5,60,2200,0.091139792
1400,1.5,60,2400,0.109868556
1400,1.5,60,2600,0.130266564
1400,1.5,60,2800,0.151987705
1400,1.5,60,3000,0.175730409
1400,1.5,60,3200,0.201581771
1400,1.5,60,3400,0.228898072
1400,1.5,60,3600,0.257588721
1400,1.5,60,3800,0.287847563
1400,1.5,60,4000,0.319449301
1400,1.5,62,2000,0.075363057
1400,1.5,62,2200,0.092286894
1400,1.5,62,2400,0.111801445
1400,1.5,62,2600,0.13325262
1400,1.5,62,2800,0.156224616
1400,1.5,62,3000,0.181301938
1400,1.5,62,3200,0.208520663
1400,1.5,62,3400,0.237208882
1400,1.5,62,3600,0.267289335
1400,1.5,62,3800,0.298824199
1400,1.5,62,4000,0.331253047
1400,1.5,64,2000,0.075943122
1400,1.5,64,2200,0.093501942
1400,1.5,64,2400,0.113811318
1400,1.5,64,2600,0.13624194
1400,1.5,64,2800,0.1603452
1400,1.5,64,3000,0.186607702
1400,1.5,64,3200,0.214898351
1400,1.5,64,3400,0.244394396
1400,1.5,64,3600,0.275100469
1400,1.5,64,3800,0.307052187
1400,1.5,64,4000,0.339211324
1400,1.5,66,2000,0.076499737
1400,1.5,66,2200,0.09471288
1400,1.5,66,2400,0.115787157
1400,1.5,66,2600,0.139059149
1400,1.5,66,2800,0.1640774
1400,1.5,66,3000,0.191274893
1400,1.5,66,3200,0.220260875
1400,1.5,66,3400,0.249906102
1400,1.5,66,3600,0.280324543
1400,1.5,66,3800,0.31169764
1400,1.5,66,4000,0.342486881
1400,1.5,68,2000,0.076974566
1400,1.5,68,2200,0.095831411
1400,1.5,68,2400,0.117608754
1400,1.5,68,2600,0.141537715
1400,1.5,68,2800,0.167181361
1400,1.5,68,3000,0.194990212
1400,1.5,68,3200,0.224266882
1400,1.5,68,3400,0.253408391
1400,1.5,68,3600,0.28260632
1400,1.5,68,3800,0.312390585
1400,1.5,68,4000,0.34084577
1400,1.5,70,2000,0.07728885
1400,1.5,70,2200,0.096746088
1400,1.5,70,2400,0.119136968
1400,1.5,70,2600,0.143508188
1400,1.5,70,2800,0.169439397
1400,1.5,70,3000,0.197488702
1400,1.5,70,3200,0.226662503
1400,1.5,70,3400,0.254731625
1400,1.5,70,3600,0.281873042
1400,1.5,70,3800,0.309150617
1400,1.5,70,4000,0.334520078
1400,1.6,50,2000,0.158718493
1400,1.6,50,2200,0.190947563
1400,1.6,50,2400,0.224840425
1400,1.6,50,2600,0.258746657
1400,1.6,50,2800,0.294992217
1400,1.6,50,3000,0.334047648
1400,1.6,50,3200,0.373298019
1400,1.6,50,3400,0.412329716
1400,1.6,50,3600,0.452955126
1400,1.6,50,3800,0.494744501
1400,1.6,50,4000,0.535435225
1400,1.6,52,2000,0.158880174
1400,1.6,52,2200,0.190983962
1400,1.6,52,2400,0.224897263
1400,1.6,52,2600,0.258923736
1400,1.6,52,2800,0.295112195
1400,1.6,52,3000,0.33405096
1400,1.6,52,3200,0.373357083
1400,1.6,52,3400,0.412443682
1400,1.6,52,3600,0.452952587
1400,1.6,52,3800,0.494645693
1400,1.6,52,4000,0.53538876
1400,1.6,54,2000,0.159035394
1400,1.6,54,2200,0.191171612
1400,1.6,54,2400,0.225407734
1400,1.6,54,2600,0.259941834
1400,1.6,54,2800,0.296472765
1400,1.6,54,3000,0.335789032
1400,1.6,54,3200,0.37583776
1400,1.6,54,3400,0.415749431
1400,1.6,54,3600,0.456876969
1400,1.6,54,3800,0.499297924
1400,1.6,54,4000,0.541106496
1400,1.6,56,2000,0.159200719
1400,1.6,56,2200,0.191503185
1400,1.6,56,2400,0.226282888
1400,1.6,56,2600,0.261627146
1400,1.6,56,2800,0.298832862
1400,1.6,56,3000,0.338877043
1400,1.6,56,3200,0.380107841
1400,1.6,56,3400,0.421377703
1400,1.6,56,3600,0.463614882
1400,1.6,56,3800,0.507182019
1400,1.6,56,4000,0.550535186
1400,1.6,58,2000,0.159380342
1400,1.6,58,2200,0.191955001
1400,1.6,58,2400,0.227411048
1400,1.6,58,2600,0.263766412
1400,1.6,58,2800,0.301887873
1400,1.6,58,3000,0.342836321
1400,1.6,58,3200,0.385386444
1400,1.6,58,3400,0.42822797
1400,1.6,58,3600,0.471737937
1400,1.6,58,3800,0.516359365
1400,1.6,58,4000,0.561034478
1400,1.6,60,2000,0.159565044
1400,1.6,60,2200,0.192490017
1400,1.6,60,2400,0.228668945
1400,1.6,60,2600,0.266124951
1400,1.6,60,2800,0.305301481
1400,1.6,60,3000,0.34716448
1400,1.6,60,3200,0.390870736
1400,1.6,60,3400,0.435150735
1400,1.6,60,3600,0.479770315
1400,1.6,60,3800,0.524897742
1400,1.6,60,4000,0.569998456
1400,1.6,62,2000,0.159730207
1400,1.6,62,2200,0.193058152
1400,1.6,62,2400,0.229928466
1400,1.6,62,2600,0.268460692
1400,1.6,62,2800,0.308729236
1400,1.6,62,3000,0.351384682
1400,1.6,62,3200,0.395831468
1400,1.6,62,3400,0.441090759
1400,1.6,62,3600,0.486383554
1400,1.6,62,3800,0.531168681
1400,1.6,62,4000,0.575308339
1400,1.6,64,2000,0.159832657
1400,1.6,64,2200,0.193593681
1400,1.6,64,2400,0.231058304
1400,1.6,64,2600,0.270533083
1400,1.6,64,2800,0.311833011
1400,1.6,64,3000,0.355071888
1400,1.6,64,3200,0.399671233
1400,1.6,64,3400,0.445184511
1400,1.6,64,3600,0.490514063
1400,1.6,64,3800,0.534001444
1400,1.6,64,4000,0.575579878
1400,1.6,66,2000,0.159805865
1400,1.6,66,2200,0.194009334
1400,1.6,66,2400,0.231919692
1400,1.6,66,2600,0.272105333
1400,1.6,66,2800,0.314285993
1400,1.6,66,3000,0.357857272
1400,1.6,66,3200,0.401943496
1400,1.6,66,3400,0.446808551
1400,1.6,66,3600,0.491412445
1400,1.6,66,3800,0.532710909
1400,1.6,66,4000,0.57021016
1400,1.6,68,2000,0.159552779
1400,1.6,68,2200,0.194186482
1400,1.6,68,2400,0.232355299
1400,1.6,68,2600,0.272937946
1400,1.6,68,2800,0.315767528
1400,1.6,68,3000,0.359413546
1400,1.6,68,3200,0.402334546
1400,1.6,68,3400,0.445578069
1400,1.6,68,3600,0.488637242
1400,1.6,68,3800,0.527034638
1400,1.6,68,4000,0.559264106
1400,1.6,70,2000,0.158935168
1400,1.6,70,2200,0.193960281
1400,1.6,70,2400,0.232170058
1400,1.6,70,2600,0.272771142
1400,1.6,70,2800,0.315946052
1400,1.6,70,3000,0.359423531
1400,1.6,70,3200,0.400613479
1400,1.6,70,3400,0.441297695
1400,1.6,70,3600,0.482002661
1400,1.6,70,3800,0.517016207
1400,1.6,70,4000,0.543261831
1400,1.7,50,2000,0.283670191
1400,1.7,50,2200,0.33790242
1400,1.7,50,2400,0.391453572
1400,1.7,50,2600,0.444835242
1400,1.7,50,2800,0.501522002
1400,1.7,50,3000,0.558736422
1400,1.7,50,3200,0.612769525
1400,1.7,50,3400,0.665587932
1400,1.7,50,3600,0.71836013
1400,1.7,50,3800,0.767645267
1400,1.7,50,4000,0.812022681
1400,1.7,52,2000,0.283770413
1400,1.7,52,2200,0.337916422
1400,1.7,52,2400,0.391645931
1400,1.7,52,2600,0.44504795
1400,1.7,52,2800,0.501552433
1400,1.7,52,3000,0.558800879
1400,1.7,52,3200,0.612961238
1400,1.7,52,3400,0.66566903
1400,1.7,52,3600,0.718320982
1400,1.7,52,3800,0.767714992
1400,1.7,52,4000,0.812111536
1400,1.7,54,2000,0.283642787
1400,1.7,54,2200,0.337805871
1400,1.7,54,2400,0.391983139
1400,1.7,54,2600,0.445642878
1400,1.7,54,2800,0.502111858
1400,1.7,54,3000,0.55969656
1400,1.7,54,3200,0.614422717
1400,1.7,54,3400,0.6672391
1400,1.7,54,3600,0.71985205
1400,1.7,54,3800,0.769615188
1400,1.7,54,4000,0.81416879
1400,1.7,56,2000,0.283341052
1400,1.7,56,2200,0.33757732
1400,1.7,56,2400,0.392388381
1400,1.7,56,2600,0.446518948
1400,1.7,56,2800,0.503047933
1400,1.7,56,3000,0.561091728
1400,1.7,56,3200,0.616656567
1400,1.7,56,3400,0.669713934
1400,1.7,56,3600,0.72215019
1400,1.7,56,3800,0.772198214
1400,1.7,56,4000,0.816831416
1400,1.7,58,2000,0.282897959
1400,1.7,58,2200,0.337213033
1400,1.7,58,2400,0.392747325
1400,1.7,58,2600,0.447521347
1400,1.7,58,2800,0.504140337
1400,1.7,58,3000,0.562547222
1400,1.7,58,3200,0.618990753
1400,1.7,58,3400,0.67228385
1400,1.7,58,3600,0.724126926
1400,1.7,58,3800,0.773903459
1400,1.7,58,4000,0.818188961
1400,1.7,60,2000,0.282324726
1400,1.7,60,2200,0.336676998
1400,1.7,60,2400,0.392920528
1400,1.7,60,2600,0.448456231
1400,1.7,60,2800,0.505136963
1400,1.7,60,3000,0.563599373
1400,1.7,60,3200,0.620698096
1400,1.7,60,3400,0.674075202
1400,1.7,60,3600,0.724679915
1400,1.7,60,3800,0.773169901
1400,1.7,60,4000,0.816299725
1400,1.7,62,2000,0.281608014
1400,1.7,62,2200,0.335916151
1400,1.7,62,2400,0.392751203
1400,1.7,62,2600,0.449100528
1400,1.7,62,2800,0.50577653
1400,1.7,62,3000,0.563819169
1400,1.7,62,3200,0.621090425
1400,1.7,62,3400,0.674268343
1400,1.7,62,3600,0.722879472
1400,1.7,62,3800,0.768738335
1400,1.7,62,4000,0.809572919
1400,1.7,64,2000,0.280704209
1400,1.7,64,2200,0.334856231
1400,1.7,64,2400,0.392067196
1400,1.7,64,2600,0.449205978
1400,1.7,64,2800,0.505796093
1400,1.7,64,3000,0.562842987
1400,1.7,64,3200,0.619581921
1400,1.7,64,3400,0.67216914
1400,1.7,64,3600,0.718060503
1400,1.7,64,3800,0.759818378
1400,1.7,64,4000,0.796995763
1400,1.7,66,2000,0.279530433
1400,1.7,66,2200,0.333391591
1400,1.7,66,2400,0.390675529
1400,1.7,66,2600,0.448496106
1400,1.7,66,2800,0.504923637
1400,1.7,66,3000,0.560373453
1400,1.7,66,3200,0.615717392
1400,1.7,66,3400,0.667237786
1400,1.7,66,3600,0.70983048
1400,1.7,66,3800,0.746120241
1400,1.7,66,4000,0.778209244
1400,1.7,68,2000,0.277951326
1400,1.7,68,2200,0.331368015
1400,1.7,68,2400,0.38834748
1400,1.7,68,2600,0.446654074
1400,1.7,68,2800,0.502856331
1400,1.7,68,3000,0.556151558
1400,1.7,68,3200,0.609162461
1400,1.7,68,3400,0.659079926
1400,1.7,68,3600,0.69801486
1400,1.7,68,3800,0.727772831
1400,1.7,68,4000,0.753450341
1400,1.7,70,2000,0.275759962
1400,1.7,70,2200,0.328557032
1400,1.7,70,2400,0.384791783
1400,1.7,70,2600,0.443298271
1400,1.7,70,2800,0.499223883
1400,1.7,70,3000,0.549902267
1400,1.7,70,3200,0.599654358
1400,1.7,70,3400,0.647402627
1400,1.7,70,3600,0.682561763
1400,1.7,70,3800,0.705163397
1400,1.7,70,4000,0.723387966
1400,1.8,50,2000,0.441162865
1400,1.8,50,2200,0.516122353
1400,1.8,50,2400,0.58595027
1400,1.8,50,2600,0.654435099
1400,1.8,50,2800,0.723342248
1400,1.8,50,3000,0.785823907
1400,1.8,50,3200,0.839674779
1400,1.8,50,3400,0.88882492
1400,1.8,50,3600,0.93120943
1400,1.8,50,3800,0.961852491
1400,1.8,50,4000,0.982557054
1400,1.8,52,2000,0.441144358
1400,1.8,52,2200,0.516192398
1400,1.8,52,2400,0.586197269
1400,1.8,52,2600,0.654487553
1400,1.8,52,2800,0.723302716
1400,1.8,52,3000,0.785983396
1400,1.8,52,3200,0.839786613
1400,1.8,52,3400,0.888745271
1400,1.8,52,3600,0.931245581
1400,1.8,52,3800,0.961984397
1400,1.8,52,4000,0.982519073
1400,1.8,54,2000,0.440559654
1400,1.8,54,2200,0.51574479
1400,1.8,54,2400,0.586082685
1400,1.8,54,2600,0.654075293
1400,1.8,54,2800,0.722632147
1400,1.8,54,3000,0.785587432
1400,1.8,54,3200,0.839204022
1400,1.8,54,3400,0.887397999
1400,1.8,54,3600,0.929526804
1400,1.8,54,3800,0.959849226
1400,1.8,54,4000,0.979105787
1400,1.8,56,2000,0.439495451
1400,1.8,56,2200,0.514797934
1400,1.8,56,2400,0.585599063
1400,1.8,56,2600,0.65322538
1400,1.8,56,2800,0.721278961
1400,1.8,56,3000,0.784465923
1400,1.8,56,3200,0.837778098
1400,1.8,56,3400,0.884610266
1400,1.8,56,3600,0.925723197
1400,1.8,56,3800,0.955095677
1400,1.8,56,4000,0.972045937
1400,1.8,58,2000,0.438010184
1400,1.8,58,2200,0.513332862
1400,1.8,58,2400,0.584686977
1400,1.8,58,2600,0.651910565
1400,1.8,58,2800,0.71911902
1400,1.8,58,3000,0.782323533
1400,1.8,58,3200,0.835203568
1400,1.8,58,3400,0.880035558
1400,1.8,58,3600,0.919253578
1400,1.8,58,3800,0.947034988
1400,1.8,58,4000,0.960715686
1400,1.8,60,2000,0.436134261
1400,1.8,60,2200,0.511301212
1400,1.8,60,2400,0.583242249
1400,1.8,60,2600,0.650059953
1400,1.8,60,2800,0.715998268
1400,1.8,60,3000,0.778812858
1400,1.8,60,3200,0.831102784
1400,1.8,60,3400,0.873294877
1400,1.8,60,3600,0.909521749
1400,1.8,60,3800,0.93492605
1400,1.8,60,4000,0.944485903
1400,1.8,62,2000,0.433865967
1400,1.8,62,2200,0.508627382
1400,1.8,62,2400,0.581118996
1400,1.8,62,2600,0.647562157
1400,1.8,62,2800,0.711758593
1400,1.8,62,3000,0.773589818
1400,1.8,62,3200,0.825087256
1400,1.8,62,3400,0.86406981
1400,1.8,62,3600,0.896085735
1400,1.8,62,3800,0.91818887
1400,1.8,62,4000,0.922954579
1400,1.8,64,2000,0.431162639
1400,1.8,64,2200,0.505203795
1400,1.8,64,2400,0.57812742
1400,1.8,64,2600,0.644259806
1400,1.8,64,2800,0.706243705
1400,1.8,64,3000,0.766346379
1400,1.8,64,3200,0.816794372
1400,1.8,64,3400,0.852142225
1400,1.8,64,3600,0.878744505
1400,1.8,64,3800,0.896532301
1400,1.8,64,4000,0.896055223
1400,1.8,66,2000,0.427926352
1400,1.8,66,2200,0.500877927
1400,1.8,66,2400,0.574024527
1400,1.8,66,2600,0.639934502
1400,1.8,66,2800,0.699284058
1400,1.8,66,3000,0.756816545
1400,1.8,66,3200,0.805898823
1400,1.8,66,3400,0.837386007
1400,1.8,66,3600,0.85754214
1400,1.8,66,3800,0.869994374
1400,1.8,66,4000,0.86406122
1400,1.8,68,2000,0.423982855
1400,1.8,68,2200,0.495429449
1400,1.8,68,2400,0.568495062
1400,1.8,68,2600,0.634280727
1400,1.8,68,2800,0.690660985
1400,1.8,68,3000,0.74475262
1400,1.8,68,3200,0.792097976
1400,1.8,68,3400,0.81972099
1400,1.8,68,3600,0.832701614
1400,1.8,68,3800,0.838901545
1400,1.8,68,4000,0.827516175
1400,1.8,70,2000,0.419051656
1400,1.8,70,2200,0.488535277
1400,1.8,70,2400,0.561119083
1400,1.8,70,2600,0.62686584
1400,1.8,70,2800,0.680049875
1400,1.8,70,3000,0.729869763
1400,1.8,70,3200,0.775068683
1400,1.8,70,3400,0.799038173
1400,1.8,70,3600,0.804506871
1400,1.8,70,3800,0.803758952
1400,1.8,70,4000,0.787116292
1400,1.9,50,2000,0.613953152
1400,1.9,50,2200,0.700726072
1400,1.9,50,2400,0.775333575
1400,1.9,50,2600,0.844363831
1400,1.9,50,2800,0.905605971
1400,1.9,50,3000,0.94935345
1400,1.9,50,3200,0.977753891
1400,1.9,50,3400,0.994998762
1400,1.9,50,3600,0.995026506
1400,1.9,50,3800,0.976177702
1400,1.9,50,4000,0.944459788
1400,1.9,52,2000,0.61386993
1400,1.9,52,2200,0.700890349
1400,1.9,52,2400,0.775457164
1400,1.9,52,2600,0.844207369
1400,1.9,52,2800,0.905602212
1400,1.9,52,3000,0.94946061
1400,1.9,52,3200,0.977592515
1400,1.9,52,3400,0.994874015
1400,1.9,52,3600,0.99511292
1400,1.9,52,3800,0.976086941
1400,1.9,52,4000,0.944340364
1400,1.9,54,2000,0.61280171
1400,1.9,54,2200,0.700079982
1400,1.9,54,2400,0.774497832
1400,1.9,54,2600,0.842471872
1400,1.9,54,2800,0.903669892
1400,1.9,54,3000,0.947353603
1400,1.9,54,3200,0.974370904
1400,1.9,54,3400,0.990667496
1400,1.9,54,3600,0.990260591
1400,1.9,54,3800,0.969795578
1400,1.9,54,4000,0.936337577
1400,1.9,56,2000,0.610850371
1400,1.9,56,2200,0.69834786
1400,1.9,56,2400,0.772565968
1400,1.9,56,2600,0.839298558
1400,1.9,56,2800,0.899883337
1400,1.9,56,3000,0.943152858
1400,1.9,56,3200,0.968317506
1400,1.9,56,3400,0.982606444
1400,1.9,56,3600,0.980763241
1400,1.9,56,3800,0.957802526
1400,1.9,56,4000,0.921112318
1400,1.9,58,2000,0.608080693
1400,1.9,58,2200,0.695695397
1400,1.9,58,2400,0.769719141
1400,1.9,58,2600,0.83477818
1400,1.9,58,2800,0.894233401
1400,1.9,58,3000,0.936867556
1400,1.9,58,3200,0.959559003
1400,1.9,58,3400,0.970789072
1400,1.9,58,3600,0.966732311
1400,1.9,58,3800,0.940437369
1400,1.9,58,4000,0.899182807
1400,1.9,60,2000,0.604521822
1400,1.9,60,2200,0.692077857
1400,1.9,60,2400,0.765961051
1400,1.9,60,2600,0.828962097
1400,1.9,60,2800,0.886666133
1400,1.9,60,3000,0.928436386
1400,1.9,60,3200,0.94817553
1400,1.9,60,3400,0.955294232
1400,1.9,60,3600,0.948234393
1400,1.9,60,3800,0.918001729
1400,1.9,60,4000,0.871111274
1400,1.9,62,2000,0.600162849
1400,1.9,62,2200,0.687404202
1400,1.9,62,2400,0.761235875
1400,1.9,62,2600,0.821863252
1400,1.9,62,2800,0.877107763
1400,1.9,62,3000,0.917756575
1400,1.9,62,3200,0.934233089
1400,1.9,62,3400,0.936254061
1400,1.9,62,3600,0.925392766
1400,1.9,62,3800,0.890862049
1400,1.9,62,4000,0.837614707
1400,1.9,64,2000,0.594941727
1400,1.9,64,2200,0.681530276
1400,1.9,64,2400,0.755416975
1400,1.9,64,2600,0.81344499
1400,1.9,64,2800,0.865471888
1400,1.9,64,3000,0.904698568
1400,1.9,64,3200,0.917790441
1400,1.9,64,3400,0.913880989
1400,1.9,64,3600,0.898443069
1400,1.9,64,3800,0.859488422
1400,1.9,64,4000,0.799588132
1400,1.9,66,2000,0.588726474
1400,1.9,66,2200,0.67424349
1400,1.9,66,2400,0.748288256
1400,1.9,66,2600,0.803596558
1400,1.9,66,2800,0.851645945
1400,1.9,66,3000,0.889103685
1400,1.9,66,3200,0.898881962
1400,1.9,66,3400,0.888449621
1400,1.9,66,3600,0.867739973
1400,1.9,66,3800,0.824445941
1400,1.9,66,4000,0.758054818
1400,1.9,68,2000,0.581287052
1400,1.9,68,2200,0.665236583
1400,1.9,68,2400,0.739515503
1400,1.9,68,2600,0.792093981
1400,1.9,68,2800,0.835454934
1400,1.9,68,3000,0.870761493
1400,1.9,68,3200,0.877479018
1400,1.9,68,3400,0.860240036
1400,1.9,68,3600,0.833716848
1400,1.9,68,3800,0.786349109
1400,1.9,68,4000,0.714070587
1400,1.9,70,2000,0.572255542
1400,1.9,70,2200,0.654067291
1400,1.9,70,2400,0.728603613
1400,1.9,70,2600,0.778543863
1400,1.9,70,2800,0.816600617
1400,1.9,70,3000,0.849362677
1400,1.9,70,3200,0.853430745
1400,1.9,70,3400,0.829450994
1400,1.9,70,3600,0.796804062
1400,1.9,70,3800,0.745788312
1400,1.9,70,4000,0.668609303
1400,2,50,2000,0.777378711
1400,2,50,2200,0.859452603
1400,2,50,2400,0.919820217
1400,2,50,2600,0.967220997
1400,2,50,2800,0.993567947
1400,2,50,3000,0.991110341
1400,2,50,3200,0.968848628
1400,2,50,3400,0.928072496
1400,2,50,3600,0.86341207
1400,2,50,3800,0.781617962
1400,2,50,4000,0.689799851
1400,2,52,2000,0.777311147
1400,2,52,2200,0.859609736
1400,2,52,2400,0.919667162
1400,2,52,2600,0.966965104
1400,2,52,2800,0.993584887
1400,2,52,3000,0.990916622
1400,2,52,3200,0.968501032
1400,2,52,3400,0.928025749
1400,2,52,3600,0.863260669
1400,2,52,3800,0.781341828
1400,2,52,4000,0.68981142
1400,2,54,2000,0.775834315
1400,2,54,2200,0.858289098
1400,2,54,2400,0.917565434
1400,2,54,2600,0.964053659
1400,2,54,2800,0.990515486
1400,2,54,3000,0.986921757
1400,2,54,3200,0.963186758
1400,2,54,3400,0.922028478
1400,2,54,3600,0.85620768
1400,2,54,3800,0.772888457
1400,2,54,4000,0.680505192
1400,2,56,2000,0.773058177
1400,2,56,2200,0.855618276
1400,2,56,2400,0.913735724
1400,2,56,2600,0.958714464
1400,2,56,2800,0.98461835
1400,2,56,3000,0.97952737
1400,2,56,3200,0.953407106
1400,2,56,3400,0.910678671
1400,2,56,3600,0.843045397
1400,2,56,3800,0.757254387
1400,2,56,4000,0.663064966
1400,2,58,2000,0.769044875
1400,2,58,2200,0.851668432
1400,2,58,2400,0.908353994
1400,2,58,2600,0.951123321
1400,2,58,2800,0.97607344
1400,2,58,3000,0.969068565
1400,2,58,3200,0.939608537
1400,2,58,3400,0.894494549
1400,2,58,3600,0.824498261
1400,2,58,3800,0.73542033
1400,2,58,4000,0.638683947
1400,2,60,2000,0.763810083
1400,2,60,2200,0.846452193
1400,2,60,2400,0.901545527
1400,2,60,2600,0.94141453
1400,2,60,2800,0.965000515
1400,2,60,3000,0.955826477
1400,2,60,3200,0.922213947
1400,2,60,3400,0.873965264
1400,2,60,3600,0.801261696
1400,2,60,3800,0.708382063
1400,2,60,4000,0.608596656
1400,2,62,2000,0.757318018
1400,2,62,2200,0.839916884
1400,2,62,2400,0.893373413
1400,2,62,2600,0.929681809
1400,2,62,2800,0.951469775
1400,2,62,3000,0.940031593
1400,2,62,3200,0.901637125
1400,2,62,3400,0.849584783
1400,2,62,3600,0.774024827
1400,2,62,3800,0.677158173
1400,2,62,4000,0.574086498
1400,2,64,2000,0.749469044
1400,2,64,2200,0.83193193
1400,2,64,2400,0.88381998
1400,2,64,2600,0.915966698
1400,2,64,2800,0.935501675
1400,2,64,3000,0.921855968
1400,2,64,3200,0.878276082
1400,2,64,3400,0.821862207
1400,2,64,3600,0.743473341
1400,2,64,3800,0.642770473
1400,2,64,4000,0.536459953
1400,2,66,2000,0.740078407
1400,2,66,2200,0.822268487
1400,2,66,2400,0.87275941
1400,2,66,2600,0.900232465
1400,2,66,2800,0.917052859
1400,2,66,3000,0.901393325
1400,2,66,3200,0.852485387
1400,2,66,3400,0.791306187
1400,2,66,3600,0.710272964
1400,2,66,3800,0.606202524
1400,2,66,4000,0.496991847
1400,2,68,2000,0.728844165
1400,2,68,2200,0.8105684
1400,2,68,2400,0.859918977
1400,2,68,2600,0.882321781
1400,2,68,2800,0.895984996
1400,2,68,3000,0.87862559
1400,2,68,3200,0.824529706
1400,2,68,3400,0.758384349
1400,2,68,3600,0.675035647
1400,2,68,3800,0.568345716
1400,2,68,4000,0.456854157
1400,2,70,2000,0.715301595
1400,2,70,2200,0.796298538
1400,2,70,2400,0.844824864
1400,2,70,2600,0.861895808
1400,2,70,2800,0.8720128
1400,2,70,3000,0.853372968
1400,2,70,3200,0.794520471
1400,2,70,3400,0.723460408
1400,2,70,3600,0.638270242
1400,2,70,3800,0.529941216
1400,2,70,4000,0.417042685
1400,2.1,50,2000,0.905685174
1400,2.1,50,2200,0.961339152
1400,2.1,50,2400,0.98628434
1400,2.1,50,2600,0.988715285
1400,2.1,50,2800,0.955868864
1400,2.1,50,3000,0.890452154
1400,2.1,50,3200,0.805882221
1400,2.1,50,3400,0.701311119
1400,2.1,50,3600,0.580060304
1400,2.1,50,3800,0.455998537
1400,2.1,50,4000,0.335799417
1400,2.1,52,2000,0.905682855
1400,2.1,52,2200,0.961330784
1400,2.1,52,2400,0.985875436
1400,2.1,52,2600,0.988520972
1400,2.1,52,2800,0.955725685
1400,2.1,52,3000,0.889954928
1400,2.1,52,3200,0.80565321
1400,2.1,52,3400,0.701158969
1400,2.1,52,3600,0.57969094
1400,2.1,52,3800,0.455908062
1400,2.1,52,4000,0.335746567
1400,2.1,54,2000,0.90389817
1400,2.1,54,2200,0.959312692
1400,2.1,54,2400,0.982723996
1400,2.1,54,2600,0.984924141
1400,2.1,54,2800,0.951695182
1400,2.1,54,3000,0.884678881
