lambda,n,angle,h,TE
1300,3.9,50,3000,0.314938704
1300,3.9,50,3200,0.077495898
1300,3.9,50,3400,0.00142882
1300,3.9,50,3600,0.239477189
1300,3.9,50,3800,0.605534304
1300,3.9,50,4000,0.910769591
1300,3.9,52,2000,0.326960637
1300,3.9,52,2200,0.202183645
1300,3.9,52,2400,0.820094501
1300,3.9,52,2600,0.888206535
1300,3.9,52,2800,0.612578372
1300,3.9,52,3000,0.306541228
1300,3.9,52,3200,0.067131054
1300,3.9,52,3400,0.011767177
1300,3.9,52,3600,0.230416642
1300,3.9,52,3800,0.609958832
1300,3.9,52,4000,0.899241765
1300,3.9,54,2000,0.350224395
1300,3.9,54,2200,0.613515051
1300,3.9,54,2400,0.772937054
1300,3.9,54,2600,0.87621805
1300,3.9,54,2800,0.595894657
1300,3.9,54,3000,0.281093696
1300,3.9,54,3200,0.174653857
1300,3.9,54,3400,0.016680005
1300,3.9,54,3600,0.212137665
1300,3.9,54,3800,0.58765955
1300,3.9,54,4000,0.881192374
1300,3.9,56,2000,0.31427878
1300,3.9,56,2200,0.570156773
1300,3.9,56,2400,0.79486748
1300,3.9,56,2600,0.854836887
1300,3.9,56,2800,0.585217699
1300,3.9,56,3000,0.160779967
1300,3.9,56,3200,0.010305869
1300,3.9,56,3400,0.021461773
1300,3.9,56,3600,0.197473647
1300,3.9,56,3800,0.606848162
1300,3.9,56,4000,0.865977297
1300,3.9,58,2000,0.294349312
1300,3.9,58,2200,0.572555466
1300,3.9,58,2400,0.514305233
1300,3.9,58,2600,0.833130486
1300,3.9,58,2800,0.571075528
1300,3.9,58,3000,0.395428563
1300,3.9,58,3200,0.027869034
1300,3.9,58,3400,0.022923735
1300,3.9,58,3600,0.206611975
1300,3.9,58,3800,0.604136578
1300,3.9,58,4000,0.851127074
1300,3.9,60,2000,0.280267345
1300,3.9,60,2200,0.565161249
1300,3.9,60,2400,0.317658488
1300,3.9,60,2600,0.80903103
1300,3.9,60,2800,0.561669101
1300,3.9,60,3000,0.352309864
1300,3.9,60,3200,0.032698712
1300,3.9,60,3400,0.025082049
1300,3.9,60,3600,0.232656592
1300,3.9,60,3800,0.597360876
1300,3.9,60,4000,0.83766623
1300,3.9,62,2000,0.274217949
1300,3.9,62,2200,0.553637729
1300,3.9,62,2400,0.396329876
1300,3.9,62,2600,0.785303916
1300,3.9,62,2800,0.551562527
1300,3.9,62,3000,0.339493108
1300,3.9,62,3200,0.030271236
1300,3.9,62,3400,0.026881359
1300,3.9,62,3600,0.246513699
1300,3.9,62,3800,0.583554178
1300,3.9,62,4000,0.825672287
1300,3.9,64,2000,0.272183654
1300,3.9,64,2200,0.539291939
1300,3.9,64,2400,0.659334935
1300,3.9,64,2600,0.758287243
1300,3.9,64,2800,0.544219277
1300,3.9,64,3000,0.334479284
1300,3.9,64,3200,0.027176701
1300,3.9,64,3400,0.027108005
1300,3.9,64,3600,0.255172207
1300,3.9,64,3800,0.580110317
1300,3.9,64,4000,0.829411323
1300,3.9,66,2000,0.270102961
1300,3.9,66,2200,0.522790805
1300,3.9,66,2400,0.745664949
1300,3.9,66,2600,0.730106183
1300,3.9,66,2800,0.52484138
1300,3.9,66,3000,0.336274063
1300,3.9,66,3200,0.311019258
1300,3.9,66,3400,0.030447299
1300,3.9,66,3600,0.256301323
1300,3.9,66,3800,0.550804421
1300,3.9,66,4000,0.69274013
1300,3.9,68,2000,0.267701386
1300,3.9,68,2200,0.502184627
1300,3.9,68,2400,0.740442278
1300,3.9,68,2600,0.708296515
1300,3.9,68,2800,0.509446562
1300,3.9,68,3000,0.341006992
1300,3.9,68,3200,0.070337387
1300,3.9,68,3400,0.029397978
1300,3.9,68,3600,0.257083486
1300,3.9,68,3800,0.561751156
1300,3.9,68,4000,0.684698888
1300,3.9,70,2000,0.272416829
1300,3.9,70,2200,0.477837528
1300,3.9,70,2400,0.706787269
1300,3.9,70,2600,0.680072441
1300,3.9,70,2800,0.493256289
1300,3.9,70,3000,0.292186334
1300,3.9,70,3200,0.055964326
1300,3.9,70,3400,0.026202208
1300,3.9,70,3600,0.256834919
1300,3.9,70,3800,0.549906238
1300,3.9,70,4000,0.656269482
1300,4,50,2000,0.2882862
1300,4,50,2200,0.323522415
1300,4,50,2400,0.85525321
1300,4,50,2600,0.846973464
1300,4,50,2800,0.75563921
1300,4,50,3000,0.251657088
1300,4,50,3200,0.04280053
1300,4,50,3400,0.237538449
1300,4,50,3600,0.285256672
1300,4,50,3800,0.64002545
1300,4,50,4000,0.913648089
1300,4,52,2000,0.291035346
1300,4,52,2200,0.750877234
1300,4,52,2400,0.826034876
1300,4,52,2600,0.823083412
1300,4,52,2800,0.751079765
1300,4,52,3000,0.223119056
1300,4,52,3200,0.010458845
1300,4,52,3400,0.019180516
1300,4,52,3600,0.263239792
1300,4,52,3800,0.65300399
1300,4,52,4000,0.896004601
1300,4,54,2000,0.295126645
1300,4,54,2200,0.6995542
1300,4,54,2400,0.423807005
1300,4,54,2600,0.801636511
1300,4,54,2800,0.756902594
1300,4,54,3000,0.267011746
1300,4,54,3200,0.131470983
1300,4,54,3400,0.03203984
1300,4,54,3600,0.22870029
1300,4,54,3800,0.656303223
1300,4,54,4000,0.885914503
1300,4,56,2000,0.301529181
1300,4,56,2200,0.669833694
1300,4,56,2400,0.102458817
1300,4,56,2600,0.784211752
1300,4,56,2800,0.705589482
1300,4,56,3000,0.331320767
1300,4,56,3200,0.002628995
1300,4,56,3400,0.036743083
1300,4,56,3600,0.196751623
1300,4,56,3800,0.652412943
1300,4,56,4000,0.870604224
1300,4,58,2000,0.313461256
1300,4,58,2200,0.655151689
1300,4,58,2400,0.821167443
1300,4,58,2600,0.771798526
1300,4,58,2800,0.043573701
1300,4,58,3000,0.288265006
1300,4,58,3200,0.005680554
1300,4,58,3400,0.04103617
1300,4,58,3600,0.219829504
1300,4,58,3800,0.644044577
1300,4,58,4000,0.852229305
1300,4,60,2000,0.342375154
1300,4,60,2200,0.639978208
1300,4,60,2400,0.772914549
1300,4,60,2600,0.657483234
1300,4,60,2800,0.254701176
1300,4,60,3000,0.278682169
1300,4,60,3200,0.01268827
1300,4,60,3400,0.042173078
1300,4,60,3600,0.238888161
1300,4,60,3800,0.633025233
1300,4,60,4000,0.831241034
1300,4,62,2000,0.45052545
1300,4,62,2200,0.624940235
1300,4,62,2400,0.674233703
1300,4,62,2600,0.543716438
1300,4,62,2800,0.367937878
1300,4,62,3000,0.272708732
1300,4,62,3200,0.013914088
1300,4,62,3400,0.046104365
1300,4,62,3600,0.266250116
1300,4,62,3800,0.416387836
1300,4,62,4000,0.805338834
1300,4,64,2000,0.03235993
1300,4,64,2200,0.608661777
1300,4,64,2400,0.494830049
1300,4,64,2600,0.138419377
1300,4,64,2800,0.405728445
1300,4,64,3000,0.257179795
1300,4,64,3200,0.018138503
1300,4,64,3400,0.045198034
1300,4,64,3600,0.287310828
1300,4,64,3800,0.615003901
1300,4,64,4000,0.772729431
1300,4,66,2000,0.120234111
1300,4,66,2200,0.582393509
1300,4,66,2400,0.217085726
1300,4,66,2600,0.20242462
1300,4,66,2800,0.417010475
1300,4,66,3000,0.275762513
1300,4,66,3200,0.32340346
1300,4,66,3400,0.043523526
1300,4,66,3600,0.286084421
1300,4,66,3800,0.603525786
1300,4,66,4000,0.729771224
1300,4,68,2000,0.1483357
1300,4,68,2200,0.57799478
1300,4,68,2400,0.218314052
1300,4,68,2600,0.63732566
1300,4,68,2800,0.415589423
1300,4,68,3000,0.268417065
1300,4,68,3200,0.029803773
1300,4,68,3400,0.04003369
1300,4,68,3600,0.287897136
1300,4,68,3800,0.600623046
1300,4,68,4000,0.67011841
1300,4,70,2000,0.149600503
1300,4,70,2200,0.555638832
1300,4,70,2400,0.454523572
1300,4,70,2600,0.612194254
1300,4,70,2800,0.410049933
1300,4,70,3000,0.266859025
1300,4,70,3200,0.041949996
1300,4,70,3400,0.035905969
1300,4,70,3600,0.284488024
1300,4,70,3800,0.581807093
1300,4,70,4000,0.60055095
1400,1,50,2000,9.99E-10
1400,1,50,2200,8.33E-10
1400,1,50,2400,9.60E-10
1400,1,50,2600,8.40E-10
1400,1,50,2800,1.26E-09
1400,1,50,3000,1.23E-09
1400,1,50,3200,1.36E-09
1400,1,50,3400,1.06E-09
1400,1,50,3600,4.68E-10
1400,1,50,3800,1.05E-09
1400,1,50,4000,1.46E-09
1400,1,52,2000,9.92E-10
1400,1,52,2200,7.42E-10
1400,1,52,2400,9.78E-10
1400,1,52,2600,7.52E-10
1400,1,52,2800,1.36E-09
1400,1,52,3000,1.30E-09
1400,1,52,3200,1.59E-09
1400,1,52,3400,1.19E-09
1400,1,52,3600,4.38E-10
1400,1,52,3800,7.46E-10
1400,1,52,4000,1.48E-09
1400,1,54,2000,9.02E-10
1400,1,54,2200,6.09E-10
1400,1,54,2400,9.70E-10
1400,1,54,2600,7.19E-10
1400,1,54,2800,1.19E-09
1400,1,54,3000,1.20E-09
1400,1,54,3200,1.50E-09
1400,1,54,3400,1.15E-09
1400,1,54,3600,4.22E-10
1400,1,54,3800,3.63E-10
1400,1,54,4000,9.75E-10
1400,1,56,2000,7.59E-10
1400,1,56,2200,4.78E-10
1400,1,56,2400,9.06E-10
1400,1,56,2600,6.73E-10
1400,1,56,2800,8.81E-10
1400,1,56,3000,9.51E-10
1400,1,56,3200,1.12E-09
1400,1,56,3400,9.37E-10
1400,1,56,3600,3.76E-10
1400,1,56,3800,1.80E-10
1400,1,56,4000,5.22E-10
1400,1,58,2000,5.99E-10
1400,1,58,2200,3.58E-10
1400,1,58,2400,7.87E-10
1400,1,58,2600,5.71E-10
1400,1,58,2800,5.98E-10
1400,1,58,3000,6.82E-10
1400,1,58,3200,6.79E-10
1400,1,58,3400,6.11E-10
1400,1,58,3600,3.04E-10
1400,1,58,3800,1.51E-10
1400,1,58,4000,4.04E-10
1400,1,60,2000,4.56E-10
1400,1,60,2200,2.50E-10
1400,1,60,2400,6.61E-10
1400,1,60,2600,4.60E-10
1400,1,60,2800,4.33E-10
1400,1,60,3000,5.27E-10
1400,1,60,3200,4.40E-10
1400,1,60,3400,4.14E-10
1400,1,60,3600,3.56E-10
1400,1,60,3800,2.83E-10
1400,1,60,4000,6.13E-10
1400,1,62,2000,3.59E-10
1400,1,62,2200,1.78E-10
1400,1,62,2400,5.96E-10
1400,1,62,2600,4.21E-10
1400,1,62,2800,3.96E-10
1400,1,62,3000,5.27E-10
1400,1,62,3200,4.49E-10
1400,1,62,3400,4.68E-10
1400,1,62,3600,5.74E-10
1400,1,62,3800,6.03E-10
1400,1,62,4000,9.60E-10
1400,1,64,2000,3.23E-10
1400,1,64,2200,1.73E-10
1400,1,64,2400,6.14E-10
1400,1,64,2600,4.66E-10
1400,1,64,2800,4.36E-10
1400,1,64,3000,6.01E-10
1400,1,64,3200,5.37E-10
1400,1,64,3400,5.95E-10
1400,1,64,3600,7.44E-10
1400,1,64,3800,8.88E-10
1400,1,64,4000,1.11E-09
1400,1,66,2000,3.45E-10
1400,1,66,2200,2.37E-10
1400,1,66,2400,6.76E-10
1400,1,66,2600,5.23E-10
1400,1,66,2800,4.72E-10
1400,1,66,3000,6.16E-10
1400,1,66,3200,5.22E-10
1400,1,66,3400,5.57E-10
1400,1,66,3600,6.74E-10
1400,1,66,3800,9.24E-10
1400,1,66,4000,1.00E-09
1400,1,68,2000,3.98E-10
1400,1,68,2200,3.24E-10
1400,1,68,2400,7.05E-10
1400,1,68,2600,5.03E-10
1400,1,68,2800,4.39E-10
1400,1,68,3000,5.13E-10
1400,1,68,3200,3.83E-10
1400,1,68,3400,3.67E-10
1400,1,68,3600,4.58E-10
1400,1,68,3800,8.47E-10
1400,1,68,4000,9.11E-10
1400,1,70,2000,4.41E-10
1400,1,70,2200,3.57E-10
1400,1,70,2400,6.45E-10
1400,1,70,2600,3.86E-10
1400,1,70,2800,3.42E-10
1400,1,70,3000,3.48E-10
1400,1,70,3200,2.62E-10
1400,1,70,3400,2.29E-10
1400,1,70,3600,3.00E-10
1400,1,70,3800,8.88E-10
1400,1,70,4000,9.39E-10
1400,1.1,50,2000,0.071553045
1400,1.1,50,2200,0.086084355
1400,1.1,50,2400,0.101805658
1400,1.1,50,2600,0.118695506
1400,1.1,50,2800,0.136663152
1400,1.1,50,3000,0.15565116
1400,1.1,50,3200,0.175597098
1400,1.1,50,3400,0.196444775
1400,1.1,50,3600,0.21814827
1400,1.1,50,3800,0.240606994
1400,1.1,50,4000,0.26372918
1400,1.1,52,2000,0.071540914
1400,1.1,52,2200,0.086109122
1400,1.1,52,2400,0.101864561
1400,1.1,52,2600,0.118773723
1400,1.1,52,2800,0.13676374
1400,1.1,52,3000,0.155791698
1400,1.1,52,3200,0.175813298
1400,1.1,52,3400,0.196749448
1400,1.1,52,3600,0.218522822
1400,1.1,52,3800,0.241063073
1400,1.1,52,4000,0.264301863
1400,1.1,54,2000,0.070772048
1400,1.1,54,2200,0.084918747
1400,1.1,54,2400,0.100089817
1400,1.1,54,2600,0.116205956
1400,1.1,54,2800,0.133184395
1400,1.1,54,3000,0.150974695
1400,1.1,54,3200,0.169518235
1400,1.1,54,3400,0.188676519
1400,1.1,54,3600,0.208295898
1400,1.1,54,3800,0.228311847
1400,1.1,54,4000,0.248656403
1400,1.1,56,2000,0.069349942
1400,1.1,56,2200,0.082687453
1400,1.1,56,2400,0.096763334
1400,1.1,56,2600,0.111427922
1400,1.1,56,2800,0.12656611
1400,1.1,56,3000,0.142112575
1400,1.1,56,3200,0.157977733
1400,1.1,56,3400,0.173955077
1400,1.1,56,3600,0.189809585
1400,1.1,56,3800,0.205459067
1400,1.1,56,4000,0.220825779
1400,1.1,58,2000,0.06737849
1400,1.1,58,2200,0.079593783
1400,1.1,58,2400,0.092181176
1400,1.1,58,2600,0.104910129
1400,1.1,58,2800,0.117621555
1400,1.1,58,3000,0.1302409
1400,1.1,58,3200,0.14265454
1400,1.1,58,3400,0.154613982
1400,1.1,58,3600,0.165836861
1400,1.1,58,3800,0.176220184
1400,1.1,58,4000,0.18569128
1400,1.1,60,2000,0.064961193
1400,1.1,60,2200,0.075816
1400,1.1,60,2400,0.086639587
1400,1.1,60,2600,0.097126338
1400,1.1,60,2800,0.107074958
1400,1.1,60,3000,0.116415983
1400,1.1,60,3200,0.125039244
1400,1.1,60,3400,0.13270649
1400,1.1,60,3600,0.139146991
1400,1.1,60,3800,0.144262901
1400,1.1,60,4000,0.148020514
1400,1.1,62,2000,0.062200344
1400,1.1,62,2200,0.071528413
1400,1.1,62,2400,0.080424028
1400,1.1,62,2600,0.088528074
1400,1.1,62,2800,0.095612156
1400,1.1,62,3000,0.101630518
1400,1.1,62,3200,0.106514695
1400,1.1,62,3400,0.110097313
1400,1.1,62,3600,0.112183507
1400,1.1,62,3800,0.112727582
1400,1.1,62,4000,0.111770719
1400,1.1,64,2000,0.059195942
1400,1.1,64,2200,0.066898305
1400,1.1,64,2400,0.073801008
1400,1.1,64,2600,0.079525558
1400,1.1,64,2800,0.083842477
1400,1.1,64,3000,0.08674938
1400,1.1,64,3200,0.088256681
1400,1.1,64,3400,0.08831858
1400,1.1,64,3600,0.086866888
1400,1.1,64,3800,0.083954964
1400,1.1,64,4000,0.079720419
1400,1.1,66,2000,0.056044136
1400,1.1,66,2200,0.062083127
1400,1.1,66,2400,0.067012362
1400,1.1,66,2600,0.070475406
1400,1.1,66,2800,0.072274221
1400,1.1,66,3000,0.072468326
1400,1.1,66,3200,0.071173381
1400,1.1,66,3400,0.068493365
1400,1.1,66,3600,0.064511931
1400,1.1,66,3800,0.059405865
1400,1.1,66,4000,0.053406435
1400,1.1,68,2000,0.052834957
1400,1.1,68,2200,0.057227579
1400,1.1,68,2400,0.0602713
1400,1.1,68,2600,0.061674521
1400,1.1,68,2800,0.061304071
1400,1.1,68,3000,0.059296723
1400,1.1,68,3200,0.055883798
1400,1.1,68,3400,0.05132018
1400,1.1,68,3600,0.045836834
1400,1.1,68,3800,0.039724669
1400,1.1,68,4000,0.033279507
1400,1.1,70,2000,0.049649043
1400,1.1,70,2200,0.052460146
1400,1.1,70,2400,0.053759357
1400,1.1,70,2600,0.053358572
1400,1.1,70,2800,0.051218316
1400,1.1,70,3000,0.047562202
1400,1.1,70,3200,0.042731226
1400,1.1,70,3400,0.037107819
1400,1.1,70,3600,0.031039084
1400,1.1,70,3800,0.024890731
1400,1.1,70,4000,0.018974346
1400,1.2,50,2000,0.242646903
1400,1.2,50,2200,0.288068181
1400,1.2,50,2400,0.335694287
1400,1.2,50,2600,0.384950586
1400,1.2,50,2800,0.435379176
1400,1.2,50,3000,0.486314105
1400,1.2,50,3200,0.537291923
1400,1.2,50,3400,0.587787501
1400,1.2,50,3600,0.637199185
1400,1.2,50,3800,0.68492086
1400,1.2,50,4000,0.730521504
1400,1.2,52,2000,0.242619756
1400,1.2,52,2200,0.288131497
1400,1.2,52,2400,0.335750093
1400,1.2,52,2600,0.385018516
1400,1.2,52,2800,0.435587762
1400,1.2,52,3000,0.486730457
1400,1.2,52,3200,0.537864987
1400,1.2,52,3400,0.588448582
1400,1.2,52,3600,0.638041085
1400,1.2,52,3800,0.686045152
1400,1.2,52,4000,0.731939241
1400,1.2,54,2000,0.240294726
1400,1.2,54,2200,0.284584133
1400,1.2,54,2400,0.330431258
1400,1.2,54,2600,0.377472586
1400,1.2,54,2800,0.425454662
1400,1.2,54,3000,0.473524364
1400,1.2,54,3200,0.520858446
1400,1.2,54,3400,0.566882122
1400,1.2,54,3600,0.6113426
1400,1.2,54,3800,0.653692579
1400,1.2,54,4000,0.693235663
1400,1.2,56,2000,0.235981126
1400,1.2,56,2200,0.277955244
1400,1.2,56,2400,0.320580501
1400,1.2,56,2600,0.363557612
1400,1.2,56,2800,0.406731115
1400,1.2,56,3000,0.449124404
1400,1.2,56,3200,0.489619726
1400,1.2,56,3400,0.527594072
1400,1.2,56,3600,0.562982472
1400,1.2,56,3800,0.595366429
1400,1.2,56,4000,0.623927698
1400,1.2,58,2000,0.229989301
1400,1.2,58,2200,0.268788645
1400,1.2,58,2400,0.307088339
1400,1.2,58,2600,0.34462266
1400,1.2,58,2800,0.38135403
1400,1.2,58,3000,0.416257671
1400,1.2,58,3200,0.447965598
1400,1.2,58,3400,0.47580379
1400,1.2,58,3600,0.499880275
1400,1.2,58,3800,0.520004674
1400,1.2,58,4000,0.535423466
1400,1.2,60,2000,0.222624356
1400,1.2,60,2200,0.257620845
1400,1.2,60,2400,0.290843454
1400,1.2,60,2600,0.322032166
1400,1.2,60,2800,0.351297627
1400,1.2,60,3000,0.377695122
1400,1.2,60,3200,0.399740814
1400,1.2,60,3400,0.41674097
1400,1.2,60,3600,0.428958764
1400,1.2,60,3800,0.436514343
1400,1.2,60,4000,0.438949333
1400,1.2,62,2000,0.214180939
1400,1.2,62,2200,0.244963518
1400,1.2,62,2400,0.272691681
1400,1.2,62,2600,0.297090587
1400,1.2,62,2800,0.318450016
1400,1.2,62,3000,0.336052147
1400,1.2,62,3200,0.348488186
1400,1.2,62,3400,0.355119672
1400,1.2,62,3600,0.356356401
1400,1.2,62,3800,0.352665925
1400,1.2,62,4000,0.344054819
1400,1.2,64,2000,0.20493848
1400,1.2,64,2200,0.231290254
1400,1.2,64,2400,0.253404177
1400,1.2,64,2600,0.270981282
1400,1.2,64,2800,0.284514128
1400,1.2,64,3000,0.293642599
1400,1.2,64,3200,0.297233491
1400,1.2,64,3400,0.294811174
1400,1.2,64,3600,0.286938531
1400,1.2,64,3800,0.274415941
1400,1.2,64,4000,0.25776381
1400,1.2,66,2000,0.195155943
1400,1.2,66,2200,0.217026825
1400,1.2,66,2400,0.23365512
1400,1.2,66,2600,0.244721699
1400,1.2,66,2800,0.250934345
1400,1.2,66,3000,0.252381229
1400,1.2,66,3200,0.248370293
1400,1.2,66,3400,0.238700902
1400,1.2,66,3600,0.224104403
1400,1.2,66,3800,0.205658538
1400,1.2,66,4000,0.184326096
1400,1.2,68,2000,0.185064889
1400,1.2,68,2200,0.20254353
1400,1.2,68,2400,0.214008242
1400,1.2,68,2600,0.219136345
1400,1.2,68,2800,0.21885124
1400,1.2,68,3000,0.213729942
1400,1.2,68,3200,0.203622646
1400,1.2,68,3400,0.188688375
1400,1.2,68,3600,0.169836301
1400,1.2,68,3800,0.148339245
1400,1.2,68,4000,0.125451434
1400,1.2,70,2000,0.17485927
1400,1.2,70,2200,0.188147419
1400,1.2,70,2400,0.194910035
1400,1.2,70,2600,0.194846822
1400,1.2,70,2800,0.189085621
1400,1.2,70,3000,0.178685139
1400,1.2,70,3200,0.164065869
1400,1.2,70,3400,0.145780963
1400,1.2,70,3600,0.124905727
1400,1.2,70,3800,0.102810182
1400,1.2,70,4000,0.080859407
1400,1.3,50,2000,0.456124155
1400,1.3,50,2200,0.530261585
1400,1.3,50,2400,0.603619908
1400,1.3,50,2600,0.674431607
1400,1.3,50,2800,0.74119027
1400,1.3,50,3000,0.802542167
1400,1.3,50,3200,0.85708443
1400,1.3,50,3400,0.903398407
1400,1.3,50,3600,0.940553477
1400,1.3,50,3800,0.967802748
1400,1.3,50,4000,0.984531891
1400,1.3,52,2000,0.456033536
1400,1.3,52,2200,0.530094656
1400,1.3,52,2400,0.603431391
1400,1.3,52,2600,0.674485341
1400,1.3,52,2800,0.741540643
1400,1.3,52,3000,0.802997955
1400,1.3,52,3200,0.857620439
1400,1.3,52,3400,0.904227447
1400,1.3,52,3600,0.941756144
1400,1.3,52,3800,0.969263295
1400,1.3,52,4000,0.986169774
1400,1.3,54,2000,0.451988135
1400,1.3,54,2200,0.523794109
1400,1.3,54,2400,0.594366755
1400,1.3,54,2600,0.6624039
1400,1.3,54,2800,0.725856883
1400,1.3,54,3000,0.782766232
1400,1.3,54,3200,0.832175223
1400,1.3,54,3400,0.873323639
1400,1.3,54,3600,0.905040267
1400,1.3,54,3800,0.926160951
1400,1.3,54,4000,0.936301719
1400,1.3,56,2000,0.444535937
1400,1.3,56,2200,0.512275699
1400,1.3,56,2400,0.577790547
1400,1.3,56,2600,0.640105564
1400,1.3,56,2800,0.696816941
1400,1.3,56,3000,0.74554557
1400,1.3,56,3200,0.7856508
1400,1.3,56,3400,0.816935036
1400,1.3,56,3600,0.838259633
1400,1.3,56,3800,0.848316964
1400,1.3,56,4000,0.846994613
1400,1.3,58,2000,0.434230353
1400,1.3,58,2200,0.49648904
1400,1.3,58,2400,0.555148416
1400,1.3,58,2600,0.609655481
1400,1.3,58,2800,0.657350865
1400,1.3,58,3000,0.695457691
1400,1.3,58,3200,0.723618599
1400,1.3,58,3400,0.742285275
1400,1.3,58,3600,0.750602832
1400,1.3,58,3800,0.747321642
1400,1.3,58,4000,0.732623004
1400,1.3,60,2000,0.421610653
1400,1.3,60,2200,0.477374495
1400,1.3,60,2400,0.52789454
1400,1.3,60,2600,0.573144097
1400,1.3,60,2800,0.610413859
1400,1.3,60,3000,0.636642453
1400,1.3,60,3200,0.651688789
1400,1.3,60,3400,0.656671584
1400,1.3,60,3600,0.651302948
1400,1.3,60,3800,0.634673592
1400,1.3,60,4000,0.607280167
1400,1.3,62,2000,0.407185199
1400,1.3,62,2200,0.45582623
1400,1.3,62,2400,0.497428394
1400,1.3,62,2600,0.532585977
1400,1.3,62,2800,0.558810196
1400,1.3,62,3000,0.572950025
1400,1.3,62,3200,0.575020983
1400,1.3,62,3400,0.56675841
1400,1.3,62,3600,0.548661601
1400,1.3,62,3800,0.520439331
1400,1.3,62,4000,0.482950771
1400,1.3,64,2000,0.391416873
1400,1.3,64,2200,0.432661186
1400,1.3,64,2400,0.465040006
1400,1.3,64,2600,0.489836478
1400,1.3,64,2800,0.505066164
1400,1.3,64,3000,0.507735828
1400,1.3,64,3200,0.497995408
1400,1.3,64,3400,0.478095954
1400,1.3,64,3600,0.449417233
1400,1.3,64,3800,0.412471931
1400,1.3,64,4000,0.368532524
1400,1.3,66,2000,0.374709626
1400,1.3,66,2200,0.408593629
1400,1.3,66,2400,0.431864337
1400,1.3,66,2600,0.446524926
1400,1.3,66,2800,0.451345231
1400,1.3,66,3000,0.443748667
1400,1.3,66,3200,0.424042977
1400,1.3,66,3400,0.394870015
1400,1.3,66,3600,0.358443208
1400,1.3,66,3800,0.316121782
1400,1.3,66,4000,0.269598701
1400,1.3,68,2000,0.357394388
1400,1.3,68,2200,0.384214269
1400,1.3,68,2400,0.398845652
1400,1.3,68,2600,0.40400423
1400,1.3,68,2800,0.399397228
1400,1.3,68,3000,0.38309277
1400,1.3,68,3200,0.355612101
1400,1.3,68,3400,0.319862574
1400,1.3,68,3600,0.278733124
1400,1.3,68,3800,0.23432833
1400,1.3,68,4000,0.188691648
1400,1.3,70,2000,0.339711733
1400,1.3,70,2200,0.35997161
1400,1.3,70,2400,0.36671156
1400,1.3,70,2600,0.363317145
1400,1.3,70,2800,0.350534672
1400,1.3,70,3000,0.327241623
1400,1.3,70,3200,0.294235507
1400,1.3,70,3400,0.254576516
1400,1.3,70,3600,0.211608107
1400,1.3,70,3800,0.167974718
1400,1.3,70,4000,0.12592547
1400,1.4,50,2000,0.665462452
1400,1.4,50,2200,0.751914901
1400,1.4,50,2400,0.828637299
1400,1.4,50,2600,0.893190272
1400,1.4,50,2800,0.943274639
1400,1.4,50,3000,0.976825912
1400,1.4,50,3200,0.992434018
1400,1.4,50,3400,0.989707523
1400,1.4,50,3600,0.968868079
1400,1.4,50,3800,0.930536017
1400,1.4,50,4000,0.876129143
1400,1.4,52,2000,0.664966724
1400,1.4,52,2200,0.751316821
1400,1.4,52,2400,0.828354773
1400,1.4,52,2600,0.893247063
1400,1.4,52,2800,0.943377441
1400,1.4,52,3000,0.977023552
1400,1.4,52,3200,0.993003794
1400,1.4,52,3400,0.990619498
1400,1.4,52,3600,0.969916745
1400,1.4,52,3800,0.931749498
1400,1.4,52,4000,0.877627901
1400,1.4,54,2000,0.658973226
1400,1.4,54,2200,0.742508212
1400,1.4,54,2400,0.816719271
1400,1.4,54,2600,0.878241089
1400,1.4,54,2800,0.924073665
1400,1.4,54,3000,0.953109424
1400,1.4,54,3200,0.964657062
1400,1.4,54,3400,0.957756153
1400,1.4,54,3600,0.93240648
1400,1.4,54,3800,0.889989555
1400,1.4,54,4000,0.832373579
1400,1.4,56,2000,0.648254891
1400,1.4,56,2200,0.726680357
1400,1.4,56,2400,0.79542044
1400,1.4,56,2600,0.850553197
1400,1.4,56,2800,0.888644951
1400,1.4,56,3000,0.909355517
1400,1.4,56,3200,0.912730266
1400,1.4,56,3400,0.897708405
1400,1.4,56,3600,0.8643601
1400,1.4,56,3800,0.814743121
1400,1.4,56,4000,0.751299069
1400,1.4,58,2000,0.633599238
1400,1.4,58,2200,0.705069068
1400,1.4,58,2400,0.766235273
1400,1.4,58,2600,0.812729848
1400,1.4,58,2800,0.840675917
1400,1.4,58,3000,0.850526772
1400,1.4,58,3200,0.843277965
1400,1.4,58,3400,0.81805338
1400,1.4,58,3600,0.775119788
1400,1.4,58,3800,0.717213909
1400,1.4,58,4000,0.64747805
1400,1.4,60,2000,0.615776663
1400,1.4,60,2200,0.678904611
1400,1.4,60,2400,0.730945115
1400,1.4,60,2600,0.76731968
1400,1.4,60,2800,0.783758676
1400,1.4,60,3000,0.781431379
1400,1.4,60,3200,0.762431041
1400,1.4,60,3400,0.726419505
1400,1.4,60,3600,0.674010235
1400,1.4,60,3800,0.608519342
1400,1.4,60,4000,0.533794514
1400,1.4,62,2000,0.595512043
1400,1.4,62,2200,0.649366795
1400,1.4,62,2400,0.691265548
1400,1.4,62,2600,0.716745013
1400,1.4,62,2800,0.721262646
1400,1.4,62,3000,0.706563289
1400,1.4,62,3200,0.675890557
1400,1.4,62,3400,0.629779991
1400,1.4,62,3600,0.569356402
1400,1.4,62,3800,0.498371866
