lambda,n,angle,h,TE
1300,1.1,56,3400,0.116651883
1300,1.1,56,3600,0.12034111
1300,1.1,56,3800,0.122673537
1300,1.1,56,4000,0.1235626
1300,1.1,58,2000,0.058770369
1300,1.1,58,2200,0.066713068
1300,1.1,58,2400,0.073874877
1300,1.1,58,2600,0.080136296
1300,1.1,58,2800,0.085364046
1300,1.1,58,3000,0.089331979
1300,1.1,58,3200,0.091861554
1300,1.1,58,3400,0.092907467
1300,1.1,58,3600,0.092521747
1300,1.1,58,3800,0.090746032
1300,1.1,58,4000,0.08763778
1300,1.1,60,2000,0.05509586
1300,1.1,60,2200,0.061286981
1300,1.1,60,2400,0.06630955
1300,1.1,60,2600,0.070064543
1300,1.1,60,2800,0.072488235
1300,1.1,60,3000,0.07346561
1300,1.1,60,3200,0.072913046
1300,1.1,60,3400,0.070878637
1300,1.1,60,3600,0.067524431
1300,1.1,60,3800,0.063033397
1300,1.1,60,4000,0.057612658
1300,1.1,62,2000,0.051242394
1300,1.1,62,2200,0.055697831
1300,1.1,62,2400,0.058682826
1300,1.1,62,2600,0.060144045
1300,1.1,62,2800,0.060116981
1300,1.1,62,3000,0.058633409
1300,1.1,62,3200,0.055744236
1300,1.1,62,3400,0.051612718
1300,1.1,62,3600,0.046506436
1300,1.1,62,3800,0.040723922
1300,1.1,62,4000,0.034580058
1300,1.1,64,2000,0.04730704
1300,1.1,64,2200,0.050098445
1300,1.1,64,2400,0.051223882
1300,1.1,64,2600,0.050699528
1300,1.1,64,2800,0.048678559
1300,1.1,64,3000,0.045354249
1300,1.1,64,3200,0.040926549
1300,1.1,64,3400,0.035672788
1300,1.1,64,3600,0.029937454
1300,1.1,64,3800,0.024078843
1300,1.1,64,4000,0.018445041
1300,1.1,66,2000,0.043379963
1300,1.1,66,2200,0.044622646
1300,1.1,66,2400,0.044118865
1300,1.1,66,2600,0.041974161
1300,1.1,66,2800,0.038464581
1300,1.1,66,3000,0.033936819
1300,1.1,66,3200,0.028726887
1300,1.1,66,3400,0.023199134
1300,1.1,66,3600,0.017727038
1300,1.1,66,3800,0.012658013
1300,1.1,66,4000,0.008289539
1300,1.1,68,2000,0.039542984
1300,1.1,68,2200,0.039384306
1300,1.1,68,2400,0.037511053
1300,1.1,68,2600,0.0341315
1300,1.1,68,2800,0.029636686
1300,1.1,68,3000,0.024498344
1300,1.1,68,3200,0.019151701
1300,1.1,68,3400,0.014000639
1300,1.1,68,3600,0.009389439
1300,1.1,68,3800,0.005585962
1300,1.1,68,4000,0.002767463
1300,1.1,70,2000,0.035867628
1300,1.1,70,2200,0.034476467
1300,1.1,70,2400,0.031502887
1300,1.1,70,2600,0.027262841
1300,1.1,70,2800,0.022242957
1300,1.1,70,3000,0.016997149
1300,1.1,70,3200,0.012007161
1300,1.1,70,3400,0.007659299
1300,1.1,70,3600,0.004212204
1300,1.1,70,3800,0.001801955
1300,1.1,70,4000,4.47E-04
1300,1.2,50,2000,0.241574598
1300,1.2,50,2200,0.28499595
1300,1.2,50,2400,0.330062886
1300,1.2,50,2600,0.376063639
1300,1.2,50,2800,0.422161512
1300,1.2,50,3000,0.467665438
1300,1.2,50,3200,0.512221547
1300,1.2,50,3400,0.55529381
1300,1.2,50,3600,0.5958931
1300,1.2,50,3800,0.633551142
1300,1.2,50,4000,0.667992648
1300,1.2,52,2000,0.235636842
1300,1.2,52,2200,0.275844039
1300,1.2,52,2400,0.316865029
1300,1.2,52,2600,0.357915039
1300,1.2,52,2800,0.397871846
1300,1.2,52,3000,0.435955222
1300,1.2,52,3200,0.471956958
1300,1.2,52,3400,0.505345073
1300,1.2,52,3600,0.535013062
1300,1.2,52,3800,0.560495452
1300,1.2,52,4000,0.581714349
1300,1.2,54,2000,0.227819093
