lambda (nm),n,alpha (deg),f,TM
1500,1.2,44,0.46,0.586433469
1500,1.2,44,0.48,0.608121771
1500,1.2,44,0.5,0.625411155
1500,1.2,46,0.3,0.222793561
1500,1.2,46,0.32,0.273276469
1500,1.2,46,0.34,0.324300872
1500,1.2,46,0.36,0.373607603
1500,1.2,46,0.38,0.419414701
1500,1.2,46,0.4,0.460420723
1500,1.2,46,0.42,0.496057262
1500,1.2,46,0.44,0.52637921
1500,1.2,46,0.46,0.551694332
1500,1.2,46,0.48,0.572356524
1500,1.2,46,0.5,0.588799142
1500,1.2,48,0.3,0.201810913
1500,1.2,48,0.32,0.248890258
1500,1.2,48,0.34,0.296780112
1500,1.2,48,0.36,0.343286617
1500,1.2,48,0.38,0.386655717
1500,1.2,48,0.4,0.425568134
1500,1.2,48,0.42,0.459396314
1500,1.2,48,0.44,0.48815529
1500,1.2,48,0.46,0.512126129
1500,1.2,48,0.48,0.531667118
1500,1.2,48,0.5,0.54720473
1500,1.2,50,0.3,0.179600017
1500,1.2,50,0.32,0.222908885
1500,1.2,50,0.34,0.267298477
1500,1.2,50,0.36,0.310663267
1500,1.2,50,0.38,0.351291925
1500,1.2,50,0.4,0.387856409
1500,1.2,50,0.42,0.419672347
1500,1.2,50,0.44,0.446711876
1500,1.2,50,0.46,0.469216892
1500,1.2,50,0.48,0.487546789
1500,1.2,50,0.5,0.502117253
1500,1.3,30,0.3,0.273083612
1500,1.3,30,0.32,0.331111541
1500,1.3,30,0.34,0.389298235
1500,1.3,30,0.36,0.445422943
1500,1.3,30,0.38,0.497668356
1500,1.3,30,0.4,0.544954162
1500,1.3,30,0.42,0.586854879
1500,1.3,30,0.44,0.623455571
1500,1.3,30,0.46,0.654745352
1500,1.3,30,0.48,0.681039011
1500,1.3,30,0.5,0.702620267
1500,1.3,32,0.3,0.288578738
1500,1.3,32,0.32,0.349312006
1500,1.3,32,0.34,0.410011249
1500,1.3,32,0.36,0.468384189
1500,1.3,32,0.38,0.522578809
1500,1.3,32,0.4,0.571513168
1500,1.3,32,0.42,0.614780723
1500,1.3,32,0.44,0.652492687
1500,1.3,32,0.46,0.684690735
1500,1.3,32,0.48,0.711688766
1500,1.3,32,0.5,0.733784814
1500,1.3,34,0.3,0.298022288
1500,1.3,34,0.32,0.360494243
1500,1.3,34,0.34,0.422793208
1500,1.3,34,0.36,0.482572344
1500,1.3,34,0.38,0.537951397
1500,1.3,34,0.4,0.587844064
1500,1.3,34,0.42,0.6318565
1500,1.3,34,0.44,0.670121215
1500,1.3,34,0.46,0.70273858
1500,1.3,34,0.48,0.73002407
1500,1.3,34,0.5,0.752297258
1500,1.3,36,0.3,0.301472817
1500,1.3,36,0.32,0.364755217
1500,1.3,36,0.34,0.427789365
1500,1.3,36,0.36,0.488185683
1500,1.3,36,0.38,0.544040052
1500,1.3,36,0.4,0.594256324
1500,1.3,36,0.42,0.63844497
1500,1.3,36,0.44,0.676753822
1500,1.3,36,0.46,0.709344607
1500,1.3,36,0.48,0.736538078
1500,1.3,36,0.5,0.758680272
1500,1.3,38,0.3,0.299203375
1500,1.3,38,0.32,0.36241873
1500,1.3,38,0.34,0.425380602
1500,1.3,38,0.36,0.485665625
1500,1.3,38,0.38,0.541349133
1500,1.3,38,0.4,0.5913183
1500,1.3,38,0.42,0.635177833
1500,1.3,38,0.44,0.673083658
1500,1.3,38,0.46,0.705257198
1500,1.3,38,0.48,0.732028918
1500,1.3,38,0.5,0.753773222
1500,1.3,40,0.3,0.291658288
1500,1.3,40,0.32,0.353983233
1500,1.3,40,0.34,0.416121257
1500,1.3,40,0.36,0.475624484
1500,1.3,40,0.38,0.530551521
1500,1.3,40,0.4,0.579766386
1500,1.3,40,0.42,0.622857285
1500,1.3,40,0.44,0.659979806
1500,1.3,40,0.46,0.691408737
1500,1.3,40,0.48,0.717488517
1500,1.3,40,0.5,0.738620488
1500,1.3,42,0.3,0.279431601
1500,1.3,42,0.32,0.340100797
1500,1.3,42,0.34,0.400717417
1500,1.3,42,0.36,0.458821495
1500,1.3,42,0.38,0.512460738
1500,1.3,42,0.4,0.56047155
1500,1.3,42,0.42,0.60241566
1500,1.3,42,0.44,0.63843922
1500,1.3,42,0.46,0.668859676
1500,1.3,42,0.48,0.694038755
1500,1.3,42,0.5,0.714400274
1500,1.3,44,0.3,0.263253696
1500,1.3,44,0.32,0.321570401
1500,1.3,44,0.34,0.380026226
1500,1.3,44,0.36,0.436166014
1500,1.3,44,0.38,0.488035355
1500,1.3,44,0.4,0.5344419
1500,1.3,44,0.42,0.574913182
1500,1.3,44,0.44,0.609577212
1500,1.3,44,0.46,0.638780149
1500,1.3,44,0.48,0.662902932
1500,1.3,44,0.5,0.682385434
1500,1.3,46,0.3,0.243968864
1500,1.3,46,0.32,0.299323741
1500,1.3,46,0.34,0.355050833
1500,1.3,46,0.36,0.408720629
1500,1.3,46,0.38,0.458388159
1500,1.3,46,0.4,0.502834985
1500,1.3,46,0.42,0.541550028
1500,1.3,46,0.44,0.574636138
1500,1.3,46,0.46,0.602452816
1500,1.3,46,0.48,0.625400757
1500,1.3,46,0.5,0.643929155
1500,1.3,48,0.3,0.222493092
1500,1.3,48,0.32,0.274387773
1500,1.3,48,0.34,0.326910676
1500,1.3,48,0.36,0.377680447
1500,1.3,48,0.38,0.424774443
1500,1.3,48,0.4,0.466953869
1500,1.3,48,0.42,0.503667881
1500,1.3,48,0.44,0.534989727
1500,1.3,48,0.46,0.561277588
1500,1.3,48,0.48,0.582951244
1500,1.3,48,0.5,0.600463956
1500,1.3,50,0.3,0.199753485
1500,1.3,50,0.32,0.247821672
1500,1.3,50,0.34,0.296780133
1500,1.3,50,0.36,0.344317015
1500,1.3,50,0.38,0.388543814
1500,1.3,50,0.4,0.42820824
1500,1.3,50,0.42,0.462720436
1500,1.3,50,0.44,0.492122005
1500,1.3,50,0.46,0.516757632
1500,1.3,50,0.48,0.537064305
1500,1.3,50,0.5,0.55349694
1500,1.4,30,0.3,0.300206011
1500,1.4,30,0.32,0.364153068
1500,1.4,30,0.34,0.427999539
1500,1.4,30,0.36,0.489263392
1500,1.4,30,0.38,0.546049991
1500,1.4,30,0.4,0.597176425
1500,1.4,30,0.42,0.642221007
1500,1.4,30,0.44,0.681311269
1500,1.4,30,0.46,0.714408167
1500,1.4,30,0.48,0.741884473
1500,1.4,30,0.5,0.764080455
1500,1.4,32,0.3,0.315850468
1500,1.4,32,0.32,0.382508244
1500,1.4,32,0.34,0.448868883
1500,1.4,32,0.36,0.512390678
1500,1.4,32,0.38,0.571153164
1500,1.4,32,0.4,0.623977214
1500,1.4,32,0.42,0.670454375
1500,1.4,32,0.44,0.710732182
1500,1.4,32,0.46,0.744819255
1500,1.4,32,0.48,0.773077256
1500,1.4,32,0.5,0.795855353
1500,1.4,34,0.3,0.325274482
1500,1.4,34,0.32,0.393657993
1500,1.4,34,0.34,0.46159863
1500,1.4,34,0.36,0.526509726
1500,1.4,34,0.38,0.586449719
1500,1.4,34,0.4,0.640243655
1500,1.4,34,0.42,0.687494489
1500,1.4,34,0.44,0.72836994
1500,1.4,34,0.46,0.762937834
1500,1.4,34,0.48,0.791554232
1500,1.4,34,0.5,0.814585944
1500,1.4,36,0.3,0.328574657
1500,1.4,36,0.32,0.397740287
1500,1.4,36,0.34,0.466376166
1500,1.4,36,0.36,0.531860226
1500,1.4,36,0.38,0.592232489
1500,1.4,36,0.4,0.646319562
1500,1.4,36,0.42,0.693732279
1500,1.4,36,0.44,0.734657744
1500,1.4,36,0.46,0.769230486
1500,1.4,36,0.48,0.7978081
1500,1.4,36,0.5,0.820781513
1500,1.4,38,0.3,0.326051468
1500,1.4,38,0.32,0.395109316
1500,1.4,38,0.34,0.463615637
1500,1.4,38,0.36,0.528919439
1500,1.4,38,0.38,0.589043767
1500,1.4,38,0.4,0.642812278
1500,1.4,38,0.42,0.689838236
1500,1.4,38,0.44,0.730325849
1500,1.4,38,0.46,0.764478858
1500,1.4,38,0.48,0.792664375
1500,1.4,38,0.5,0.815300921
1500,1.4,40,0.3,0.318166245
1500,1.4,40,0.32,0.386283351
1500,1.4,40,0.34,0.453895713
1500,1.4,40,0.36,0.518329856
1500,1.4,40,0.38,0.57759344
1500,1.4,40,0.4,0.630502199
1500,1.4,40,0.42,0.676664905
1500,1.4,40,0.44,0.716298656
1500,1.4,40,0.46,0.749673566
1500,1.4,40,0.48,0.777173812
1500,1.4,40,0.5,0.799245545
1500,1.4,42,0.3,0.305521403
1500,1.4,42,0.32,0.371924915
1500,1.4,42,0.34,0.437937887
1500,1.4,42,0.36,0.5008736
1500,1.4,42,0.38,0.558727587
1500,1.4,42,0.4,0.610303772
1500,1.4,42,0.42,0.655199045
1500,1.4,42,0.44,0.693637411
1500,1.4,42,0.46,0.725947516
1500,1.4,42,0.48,0.752536548
1500,1.4,42,0.5,0.773875152
1500,1.4,44,0.3,0.288850037
1500,1.4,44,0.32,0.352836419
1500,1.4,44,0.34,0.416606523
1500,1.4,44,0.36,0.477473996
1500,1.4,44,0.38,0.533428308
1500,1.4,44,0.4,0.583260148
1500,1.4,44,0.42,0.626548093
1500,1.4,44,0.44,0.663516237
1500,1.4,44,0.46,0.694540025
1500,1.4,44,0.48,0.720053475
1500,1.4,44,0.5,0.740546448
1500,1.4,46,0.3,0.268997254
1500,1.4,46,0.32,0.329949718
1500,1.4,46,0.34,0.390906527
1500,1.4,46,0.36,0.449199461
1500,1.4,46,0.38,0.502820915
1500,1.4,46,0.4,0.550550132
1500,1.4,46,0.42,0.591943216
1500,1.4,46,0.44,0.627218151
1500,1.4,46,0.46,0.656783412
1500,1.4,46,0.48,0.681101656
1500,1.4,46,0.5,0.700676241
1500,1.4,48,0.3,0.246881503
1500,1.4,48,0.32,0.304293152
1500,1.4,48,0.34,0.361958424
1500,1.4,48,0.36,0.417247087
1500,1.4,48,0.38,0.468165133
1500,1.4,48,0.4,0.513484966
1500,1.4,48,0.42,0.552738817
1500,1.4,48,0.44,0.586134312
1500,1.4,48,0.46,0.614099345
1500,1.4,48,0.48,0.637125561
1500,1.4,48,0.5,0.655725596
1500,1.4,50,0.3,0.223435787
1500,1.4,50,0.32,0.276931884
1500,1.4,50,0.34,0.33094205
1500,1.4,50,0.36,0.38289293
1500,1.4,50,0.38,0.430813972
1500,1.4,50,0.4,0.47347644
1500,1.4,50,0.42,0.510389221
1500,1.4,50,0.44,0.541747669
1500,1.4,50,0.46,0.567987636
1500,1.4,50,0.48,0.589629141
1500,1.4,50,0.5,0.60719292
1500,1.5,30,0.3,0.331326565
1500,1.5,30,0.32,0.401722611
1500,1.5,30,0.34,0.471422485
1500,1.5,30,0.36,0.53767919
1500,1.5,30,0.38,0.598446373
1500,1.5,30,0.4,0.652489803
1500,1.5,30,0.42,0.699436986
1500,1.5,30,0.44,0.739405368
1500,1.5,30,0.46,0.772499356
1500,1.5,30,0.48,0.79920532
1500,1.5,30,0.5,0.820042368
1500,1.5,32,0.3,0.347209125
1500,1.5,32,0.32,0.420321786
1500,1.5,32,0.34,0.49253712
1500,1.5,32,0.36,0.56105283
1500,1.5,32,0.38,0.623806949
1500,1.5,32,0.4,0.679564489
1500,1.5,32,0.42,0.727969224
1500,1.5,32,0.44,0.769146535
1500,1.5,32,0.46,0.803236839
1500,1.5,32,0.48,0.830718529
1500,1.5,32,0.5,0.852115474
1500,1.5,34,0.3,0.356690623
1500,1.5,34,0.32,0.431519103
1500,1.5,34,0.34,0.5052992
1500,1.5,34,0.36,0.575183268
1500,1.5,34,0.38,0.639103625
1500,1.5,34,0.4,0.695827934
1500,1.5,34,0.42,0.745018162
1500,1.5,34,0.44,0.786817546
1500,1.5,34,0.46,0.821414148
1500,1.5,34,0.48,0.849285966
1500,1.5,34,0.5,0.870967773
1500,1.5,36,0.3,0.359903454
1500,1.5,36,0.32,0.435491001
1500,1.5,36,0.34,0.5099353
1500,1.5,36,0.36,0.580348879
1500,1.5,36,0.38,0.644664786
1500,1.5,36,0.4,0.701654586
1500,1.5,36,0.42,0.750998869
1500,1.5,36,0.44,0.792867029
1500,1.5,36,0.46,0.827503512
1500,1.5,36,0.48,0.855394665
1500,1.5,36,0.5,0.877090755
1500,1.5,38,0.3,0.357172487
1500,1.5,38,0.32,0.432618548
1500,1.5,38,0.34,0.506888666
1500,1.5,38,0.36,0.577058797
1500,1.5,38,0.38,0.64106581
1500,1.5,38,0.4,0.697684754
1500,1.5,38,0.42,0.746613197
1500,1.5,38,0.44,0.788052115
1500,1.5,38,0.46,0.822307139
1500,1.5,38,0.48,0.849882074
1500,1.5,38,0.5,0.871344926
1500,1.5,40,0.3,0.348972265
1500,1.5,40,0.32,0.423435571
1500,1.5,40,0.34,0.496757266
1500,1.5,40,0.36,0.565980861
1500,1.5,40,0.38,0.62904783
1500,1.5,40,0.4,0.684735412
1500,1.5,40,0.42,0.732754265
1500,1.5,40,0.44,0.773338681
1500,1.5,40,0.46,0.806855514
1500,1.5,40,0.48,0.83383415
1500,1.5,40,0.5,0.854859618
1500,1.5,42,0.3,0.335909356
1500,1.5,42,0.32,0.40861028
1500,1.5,42,0.34,0.480272274
1500,1.5,42,0.36,0.547914415
1500,1.5,42,0.38,0.609482815
1500,1.5,42,0.4,0.663755852
1500,1.5,42,0.42,0.71045172
1500,1.5,42,0.44,0.749835959
1500,1.5,42,0.46,0.782331884
1500,1.5,42,0.48,0.808500417
1500,1.5,42,0.5,0.828939998
1500,1.5,44,0.3,0.318715545
1500,1.5,44,0.32,0.388943666
1500,1.5,44,0.34,0.458299099
1500,1.5,44,0.36,0.523790195
1500,1.5,44,0.38,0.583368596
1500,1.5,44,0.4,0.635814298
1500,1.5,44,0.42,0.680847162
1500,1.5,44,0.44,0.718758876
1500,1.5,44,0.46,0.750020696
1500,1.5,44,0.48,0.775228315
1500,1.5,44,0.5,0.794987999
1500,1.5,46,0.3,0.298233848
1500,1.5,46,0.32,0.365363537
1500,1.5,46,0.34,0.43183836
1500,1.5,46,0.36,0.494675221
1500,1.5,46,0.38,0.551833984
1500,1.5,46,0.4,0.602099296
1500,1.5,46,0.42,0.645188169
1500,1.5,46,0.44,0.68141178
1500,1.5,46,0.46,0.711279073
1500,1.5,46,0.48,0.735421275
1500,1.5,46,0.5,0.754446599
1500,1.5,48,0.3,0.275384514
1500,1.5,48,0.32,0.338897178
1500,1.5,48,0.34,0.402006834
1500,1.5,48,0.36,0.46176145
1500,1.5,48,0.38,0.516133303
1500,1.5,48,0.4,0.563917332
1500,1.5,48,0.42,0.604825691
1500,1.5,48,0.44,0.639182569
1500,1.5,48,0.46,0.667525066
1500,1.5,48,0.48,0.690519062
1500,1.5,48,0.5,0.708770647
1500,1.5,50,0.3,0.251109193
1500,1.5,50,0.32,0.310616524
1500,1.5,50,0.34,0.369987833
1500,1.5,50,0.36,0.426323973
1500,1.5,50,0.38,0.477613578
1500,1.5,50,0.4,0.522668802
1500,1.5,50,0.42,0.561197266
1500,1.5,50,0.44,0.593531178
1500,1.5,50,0.46,0.620229066
1500,1.5,50,0.48,0.641989908
1500,1.5,50,0.5,0.659417239
1500,1.6,30,0.3,0.366752895
1500,1.6,30,0.32,0.443928835
1500,1.6,30,0.34,0.51938735
1500,1.6,30,0.36,0.590035668
1500,1.6,30,0.38,0.653699441
1500,1.6,30,0.4,0.709178272
1500,1.6,30,0.42,0.756149543
1500,1.6,30,0.44,0.794928681
1500,1.6,30,0.46,0.825845359
1500,1.6,30,0.48,0.849667119
1500,1.6,30,0.5,0.867227311
1500,1.6,32,0.3,0.382941436
1500,1.6,32,0.32,0.462832971
1500,1.6,32,0.34,0.540795025
1500,1.6,32,0.36,0.613673259
1500,1.6,32,0.38,0.679299689
1500,1.6,32,0.4,0.73646421
1500,1.6,32,0.42,0.784850021
1500,1.6,32,0.44,0.82478401
1500,1.6,32,0.46,0.856624252
1500,1.6,32,0.48,0.881125182
1500,1.6,32,0.5,0.899137718
1500,1.6,34,0.3,0.392547676
1500,1.6,34,0.32,0.474142442
1500,1.6,34,0.34,0.553647271
1500,1.6,34,0.36,0.627855712
1500,1.6,34,0.38,0.694616211
1500,1.6,34,0.4,0.752721318
1500,1.6,34,0.42,0.801868888
1500,1.6,34,0.44,0.842409438
1500,1.6,34,0.46,0.874741683
1500,1.6,34,0.48,0.899612455
1500,1.6,34,0.5,0.917890394
1500,1.6,36,0.3,0.395737066
1500,1.6,36,0.32,0.478069378
1500,1.6,36,0.34,0.55820637
1500,1.6,36,0.36,0.632896275
1500,1.6,36,0.38,0.700008696
1500,1.6,36,0.4,0.75834997
1500,1.6,36,0.42,0.807640364
1500,1.6,36,0.44,0.848264384
1500,1.6,36,0.46,0.88067143
1500,1.6,36,0.48,0.905608267
1500,1.6,36,0.5,0.923958964
1500,1.6,38,0.3,0.392855174
1500,1.6,38,0.32,0.475018322
1500,1.6,38,0.34,0.554940972
1500,1.6,38,0.36,0.629331791
1500,1.6,38,0.38,0.696080997
1500,1.6,38,0.4,0.754017648
1500,1.6,38,0.42,0.802889822
1500,1.6,38,0.44,0.843123194
1500,1.6,38,0.46,0.875224448
1500,1.6,38,0.48,0.899948831
1500,1.6,38,0.5,0.918190881
1500,1.6,40,0.3,0.38438529
1500,1.6,40,0.32,0.465534621
1500,1.6,40,0.34,0.544464518
1500,1.6,40,0.36,0.617851093
1500,1.6,40,0.38,0.683600729
1500,1.6,40,0.4,0.740571392
1500,1.6,40,0.42,0.788541034
1500,1.6,40,0.44,0.827979441
1500,1.6,40,0.46,0.859452604
1500,1.6,40,0.48,0.883732154
1500,1.6,40,0.5,0.901715463
1500,1.6,42,0.3,0.370933157
1500,1.6,42,0.32,0.45028741
1500,1.6,42,0.34,0.527513594
1500,1.6,42,0.36,0.599265752
1500,1.6,42,0.38,0.663460359
1500,1.6,42,0.4,0.718987913
1500,1.6,42,0.42,0.765654913
1500,1.6,42,0.44,0.803973687
1500,1.6,42,0.46,0.834566618
1500,1.6,42,0.48,0.858227493
1500,1.6,42,0.5,0.875846895
1500,1.6,44,0.3,0.353224175
1500,1.6,44,0.32,0.430070787
1500,1.6,44,0.34,0.504949497
1500,1.6,44,0.36,0.574507592
1500,1.6,44,0.38,0.636666634
1500,1.6,44,0.4,0.690351601
1500,1.6,44,0.42,0.735394025
1500,1.6,44,0.44,0.772343401
1500,1.6,44,0.46,0.801871433
1500,1.6,44,0.48,0.824797003
1500,1.6,44,0.5,0.841993725
1500,1.6,46,0.3,0.332094801
1500,1.6,46,0.32,0.40580274
1500,1.6,46,0.34,0.477762365
1500,1.6,46,0.36,0.544634093
1500,1.6,46,0.38,0.604342848
1500,1.6,46,0.4,0.65584961
1500,1.6,46,0.42,0.699007278
1500,1.6,46,0.44,0.734394949
1500,1.6,46,0.46,0.76272433
1500,1.6,46,0.48,0.784839804
1500,1.6,46,0.5,0.801589301
1500,1.6,48,0.3,0.308464237
1500,1.6,48,0.32,0.3785044
1500,1.6,48,0.34,0.447058484
1500,1.6,48,0.36,0.510822269
1500,1.6,48,0.38,0.567726363
1500,1.6,48,0.4,0.616769641
1500,1.6,48,0.42,0.657824577
1500,1.6,48,0.44,0.691492209
1500,1.6,48,0.46,0.718515269
1500,1.6,48,0.48,0.739762599
1500,1.6,48,0.5,0.756051436
1500,1.6,50,0.3,0.283282687
1500,1.6,50,0.32,0.349251504
1500,1.6,50,0.34,0.414018644
1500,1.6,50,0.36,0.474335915
1500,1.6,50,0.38,0.528144744
1500,1.6,50,0.4,0.574483839
1500,1.6,50,0.42,0.61324625
1500,1.6,50,0.44,0.645049045
1500,1.6,50,0.46,0.670659822
1500,1.6,50,0.48,0.690970762
1500,1.6,50,0.5,0.706768951
1500,1.7,30,0.3,0.406870943
1500,1.7,30,0.32,0.490904597
1500,1.7,30,0.34,0.571604533
1500,1.7,30,0.36,0.645509957
1500,1.7,30,0.38,0.710416561
1500,1.7,30,0.4,0.765220957
1500,1.7,30,0.42,0.809960835
1500,1.7,30,0.44,0.845208787
1500,1.7,30,0.46,0.871800353
1500,1.7,30,0.48,0.890880739
1500,1.7,30,0.5,0.903797017
1500,1.7,32,0.3,0.423422451
1500,1.7,32,0.32,0.510152263
1500,1.7,32,0.34,0.593308358
1500,1.7,32,0.36,0.669381059
1500,1.7,32,0.38,0.736177724
1500,1.7,32,0.4,0.792572962
1500,1.7,32,0.42,0.838620487
1500,1.7,32,0.44,0.874890237
1500,1.7,32,0.46,0.902251758
1500,1.7,32,0.48,0.921851359
1500,1.7,32,0.5,0.935057704
1500,1.7,34,0.3,0.433214902
1500,1.7,34,0.32,0.521623777
1500,1.7,34,0.34,0.606274132
1500,1.7,34,0.36,0.683617499
1500,1.7,34,0.38,0.751487403
1500,1.7,34,0.4,0.808758118
1500,1.7,34,0.42,0.855508935
1500,1.7,34,0.44,0.892324234
1500,1.7,34,0.46,0.920109877
1500,1.7,34,0.48,0.940019098
1500,1.7,34,0.5,0.953422914
1500,1.7,36,0.3,0.43644422
1500,1.7,36,0.32,0.52556426
1500,1.7,36,0.34,0.610796803
1500,1.7,36,0.36,0.68856309
1500,1.7,36,0.38,0.756731765
1500,1.7,36,0.4,0.814197803
1500,1.7,36,0.42,0.8610748
1500,1.7,36,0.44,0.89797739
1500,1.7,36,0.46,0.925850233
1500,1.7,36,0.48,0.945857203
1500,1.7,36,0.5,0.959356532
1500,1.7,38,0.3,0.433473949
1500,1.7,38,0.32,0.522399624
1500,1.7,38,0.34,0.607368567
1500,1.7,38,0.36,0.684779736
1500,1.7,38,0.38,0.75253945
1500,1.7,38,0.4,0.809581601
1500,1.7,38,0.42,0.856060258
1500,1.7,38,0.44,0.892632811
1500,1.7,38,0.46,0.920284873
1500,1.7,38,0.48,0.940191568
1500,1.7,38,0.5,0.953688483
1500,1.7,40,0.3,0.424793014
1500,1.7,40,0.32,0.512684649
1500,1.7,40,0.34,0.596617095
1500,1.7,40,0.36,0.672975855
1500,1.7,40,0.38,0.739701774
1500,1.7,40,0.4,0.795781339
1500,1.7,40,0.42,0.841411171
1500,1.7,40,0.44,0.877298866
1500,1.7,40,0.46,0.904471709
1500,1.7,40,0.48,0.924112948
1500,1.7,40,0.5,0.937530477
1500,1.7,42,0.3,0.411002535
1500,1.7,42,0.32,0.497086501
1500,1.7,42,0.34,0.579282624
1500,1.7,42,0.36,0.653973914
1500,1.7,42,0.38,0.71912895
1500,1.7,42,0.4,0.773795321
1500,1.7,42,0.42,0.81820976
1500,1.7,42,0.44,0.853131723
1500,1.7,42,0.46,0.879628392
1500,1.7,42,0.48,0.89888459
1500,1.7,42,0.5,0.91217875
1500,1.7,44,0.3,0.392816928
1500,1.7,44,0.32,0.476387987
1500,1.7,44,0.34,0.556218861
1500,1.7,44,0.36,0.628704108
1500,1.7,44,0.38,0.691832638
1500,1.7,44,0.4,0.744717137
1500,1.7,44,0.42,0.787628575
1500,1.7,44,0.44,0.821374763
1500,1.7,44,0.46,0.847058026
1500,1.7,44,0.48,0.865856229
1500,1.7,44,0.5,0.879017959
1500,1.7,46,0.3,0.371061022
1500,1.7,46,0.32,0.45149117
1500,1.7,46,0.34,0.528399424
1500,1.7,46,0.36,0.598208915
1500,1.7,46,0.38,0.658923929
1500,1.7,46,0.4,0.709723417
1500,1.7,46,0.42,0.750905592
1500,1.7,46,0.44,0.783319922
1500,1.7,46,0.46,0.808096568
1500,1.7,46,0.48,0.826398247
1500,1.7,46,0.5,0.839443183
1500,1.7,48,0.3,0.346648337
1500,1.7,48,0.32,0.423403812
1500,1.7,48,0.34,0.496911539
1500,1.7,48,0.36,0.563641464
1500,1.7,48,0.38,0.621612662
1500,1.7,48,0.4,0.670070516
1500,1.7,48,0.42,0.709335092
1500,1.7,48,0.44,0.740290397
1500,1.7,48,0.46,0.764085932
1500,1.7,48,0.48,0.781864075
1500,1.7,48,0.5,0.794811495
1500,1.7,50,0.3,0.320534763
1500,1.7,50,0.32,0.393198622
1500,1.7,50,0.34,0.462923572
1500,1.7,50,0.36,0.526242292
1500,1.7,50,0.38,0.581192252
1500,1.7,50,0.4,0.627085441
1500,1.7,50,0.42,0.66426194
1500,1.7,50,0.44,0.693635423
1500,1.7,50,0.46,0.716367015
1500,1.7,50,0.48,0.733578713
1500,1.7,50,0.5,0.746424449
1500,1.8,30,0.3,0.45205054
1500,1.8,30,0.32,0.542631195
1500,1.8,30,0.34,0.627446622
1500,1.8,30,0.36,0.702819713
1500,1.8,30,0.38,0.766658079
1500,1.8,30,0.4,0.818317681
1500,1.8,30,0.42,0.858273372
1500,1.8,30,0.44,0.887676553
1500,1.8,30,0.46,0.907989022
1500,1.8,30,0.48,0.92104274
1500,1.8,30,0.5,0.928665836
1500,1.8,32,0.3,0.468994549
1500,1.8,32,0.32,0.562219711
1500,1.8,32,0.34,0.649406809
1500,1.8,32,0.36,0.726838366
1500,1.8,32,0.38,0.792432037
1500,1.8,32,0.4,0.845529496
1500,1.8,32,0.42,0.886614822
1500,1.8,32,0.44,0.916840994
1500,1.8,32,0.46,0.937722917
1500,1.8,32,0.48,0.951101806
1500,1.8,32,0.5,0.958859199
1500,1.8,34,0.3,0.479015784
1500,1.8,34,0.32,0.573871725
1500,1.8,34,0.34,0.662476574
1500,1.8,34,0.36,0.741086246
1500,1.8,34,0.38,0.80765021
1500,1.8,34,0.4,0.861521777
1500,1.8,34,0.42,0.903206306
1500,1.8,34,0.44,0.933875518
1500,1.8,34,0.46,0.955085721
1500,1.8,34,0.48,0.96867897
1500,1.8,34,0.5,0.976568445
1500,1.8,36,0.3,0.48233829
1500,1.8,36,0.32,0.57786185
1500,1.8,36,0.34,0.666979578
1500,1.8,36,0.36,0.745933311
1500,1.8,36,0.38,0.812720866
1500,1.8,36,0.4,0.866733694
1500,1.8,36,0.42,0.90850959
1500,1.8,36,0.44,0.939254816
1500,1.8,36,0.46,0.960556155
1500,1.8,36,0.48,0.974248825
1500,1.8,36,0.5,0.98225389
1500,1.8,38,0.3,0.47934158
1500,1.8,38,0.32,0.574635256
1500,1.8,38,0.34,0.663430108
1500,1.8,38,0.36,0.741964926
1500,1.8,38,0.38,0.80829498
1500,1.8,38,0.4,0.861873926
1500,1.8,38,0.42,0.903280161
1500,1.8,38,0.44,0.933766536
1500,1.8,38,0.46,0.954941092
1500,1.8,38,0.48,0.968625304
1500,1.8,38,0.5,0.976723506
1500,1.8,40,0.3,0.470518045
1500,1.8,40,0.32,0.564754966
1500,1.8,40,0.34,0.652470337
1500,1.8,40,0.36,0.729909561
1500,1.8,40,0.38,0.795186556
1500,1.8,40,0.4,0.847835836
1500,1.8,40,0.42,0.888479839
1500,1.8,40,0.44,0.9184243
1500,1.8,40,0.46,0.939290827
1500,1.8,40,0.48,0.952880492
1500,1.8,40,0.5,0.961056523
1500,1.8,42,0.3,0.456461204
1500,1.8,42,0.32,0.548884872
1500,1.8,42,0.34,0.634844677
1500,1.8,42,0.36,0.710601658
1500,1.8,42,0.38,0.774323054
1500,1.8,42,0.4,0.825635712
1500,1.8,42,0.42,0.865204243
1500,1.8,42,0.44,0.894386941
1500,1.8,42,0.46,0.914812034
1500,1.8,42,0.48,0.928253302
1500,1.8,42,0.5,0.936510045
1500,1.8,44,0.3,0.437870175
1500,1.8,44,0.32,0.52779386
1500,1.8,44,0.34,0.611398239
1500,1.8,44,0.36,0.68496963
1500,1.8,44,0.38,0.746719799
1500,1.8,44,0.4,0.796372187
1500,1.8,44,0.42,0.83462747
1500,1.8,44,0.44,0.862890115
1500,1.8,44,0.46,0.882788021
1500,1.8,44,0.48,0.896060475
1500,1.8,44,0.5,0.904423203
1500,1.8,46,0.3,0.415552427
1500,1.8,46,0.32,0.502363255
1500,1.8,46,0.34,0.583084031
1500,1.8,46,0.36,0.654037642
1500,1.8,46,0.38,0.713472007
1500,1.8,46,0.4,0.761205845
