lambda (nm),n,alpha (deg),f,TM
1300,1.1,36,0.4,0.750237733
1300,1.1,36,0.42,0.784732807
1300,1.1,36,0.44,0.811797732
1300,1.1,36,0.46,0.832326332
1300,1.1,36,0.48,0.847223146
1300,1.1,36,0.5,0.857343975
1300,1.1,38,0.3,0.435887437
1300,1.1,38,0.32,0.498762888
1300,1.1,38,0.34,0.557821552
1300,1.1,38,0.36,0.611387893
1300,1.1,38,0.38,0.658355725
1300,1.1,38,0.4,0.698158895
1300,1.1,38,0.42,0.730693022
1300,1.1,38,0.44,0.756346341
1300,1.1,38,0.46,0.77590382
1300,1.1,38,0.48,0.790165874
1300,1.1,38,0.5,0.799907183
1300,1.1,40,0.3,0.397817512
1300,1.1,40,0.32,0.454668017
1300,1.1,40,0.34,0.508060652
1300,1.1,40,0.36,0.556513174
1300,1.1,40,0.38,0.599020429
1300,1.1,40,0.4,0.635064408
1300,1.1,40,0.42,0.664469382
1300,1.1,40,0.44,0.687533039
1300,1.1,40,0.46,0.704903824
1300,1.1,40,0.48,0.717229219
1300,1.1,40,0.5,0.725122029
1300,1.1,42,0.3,0.358059441
1300,1.1,42,0.32,0.404808301
1300,1.1,42,0.34,0.446277967
1300,1.1,42,0.36,0.479429394
1300,1.1,42,0.38,0.498617432
1300,1.1,42,0.4,0.486256807
1300,1.1,42,0.42,0.335137682
1300,1.1,42,0.44,0.568399333
1300,1.1,42,0.46,0.70872032
1300,1.1,42,0.48,0.706621611
1300,1.1,42,0.5,0.702631944
1300,1.1,44,0.3,0.308225273
1300,1.1,44,0.32,0.356510272
1300,1.1,44,0.34,0.402229024
1300,1.1,44,0.36,0.444063238
1300,1.1,44,0.38,0.481083122
1300,1.1,44,0.4,0.512850404
1300,1.1,44,0.42,0.539077657
1300,1.1,44,0.44,0.559921028
1300,1.1,44,0.46,0.57572441
1300,1.1,44,0.48,0.586927917
1300,1.1,44,0.5,0.593912407
1300,1.1,46,0.3,0.265969207
1300,1.1,46,0.32,0.306733625
1300,1.1,46,0.34,0.345536204
1300,1.1,46,0.36,0.381295
1300,1.1,46,0.38,0.413170467
1300,1.1,46,0.4,0.44072006
1300,1.1,46,0.42,0.463565367
1300,1.1,46,0.44,0.481725356
1300,1.1,46,0.46,0.495361784
1300,1.1,46,0.48,0.504684296
1300,1.1,46,0.5,0.509817999
1300,1.1,48,0.3,0.223758539
1300,1.1,48,0.32,0.258364724
1300,1.1,48,0.34,0.29148786
1300,1.1,48,0.36,0.322222653
1300,1.1,48,0.38,0.349803488
1300,1.1,48,0.4,0.373779878
1300,1.1,48,0.42,0.393681717
1300,1.1,48,0.44,0.409358993
1300,1.1,48,0.46,0.420699427
1300,1.1,48,0.48,0.427488678
1300,1.1,48,0.5,0.429099423
1300,1.1,50,0.3,0.183953378
1300,1.1,50,0.32,0.213066618
1300,1.1,50,0.34,0.241232229
1300,1.1,50,0.36,0.267725696
1300,1.1,50,0.38,0.291869355
1300,1.1,50,0.4,0.313199531
1300,1.1,50,0.42,0.331132576
1300,1.1,50,0.44,0.345237413
1300,1.1,50,0.46,0.354778243
1300,1.1,50,0.48,0.357840516
1300,1.1,50,0.5,0.347133395
1300,1.2,30,0.3,0.564474199
1300,1.2,30,0.32,0.643322512
1300,1.2,30,0.34,0.715064846
1300,1.2,30,0.36,0.777327018
1300,1.2,30,0.38,0.828855476
1300,1.2,30,0.4,0.869444867
1300,1.2,30,0.42,0.89997738
1300,1.2,30,0.44,0.921909978
1300,1.2,30,0.46,0.937007306
1300,1.2,30,0.48,0.946902813
1300,1.2,30,0.5,0.952853596
1300,1.2,32,0.3,0.559606645
1300,1.2,32,0.32,0.638015904
1300,1.2,32,0.34,0.709564993
1300,1.2,32,0.36,0.771860265
1300,1.2,32,0.38,0.823631347
1300,1.2,32,0.4,0.864629898
1300,1.2,32,0.42,0.895659139
1300,1.2,32,0.44,0.918113221
1300,1.2,32,0.46,0.933716805
1300,1.2,32,0.48,0.944061173
1300,1.2,32,0.5,0.950384968
1300,1.2,34,0.3,0.543081502
1300,1.2,34,0.32,0.619436932
1300,1.2,34,0.34,0.689349086
1300,1.2,34,0.36,0.750465888
1300,1.2,34,0.38,0.801514066
1300,1.2,34,0.4,0.842198759
1300,1.2,34,0.42,0.873203319
1300,1.2,34,0.44,0.895823506
1300,1.2,34,0.46,0.911697528
1300,1.2,34,0.48,0.922344551
1300,1.2,34,0.5,0.928965433
1300,1.2,36,0.3,0.51659258
1300,1.2,36,0.32,0.589454735
1300,1.2,36,0.34,0.65641292
1300,1.2,36,0.36,0.715214535
1300,1.2,36,0.38,0.764601328
1300,1.2,36,0.4,0.804235602
1300,1.2,36,0.42,0.834654295
1300,1.2,36,0.44,0.857028653
1300,1.2,36,0.46,0.872873122
1300,1.2,36,0.48,0.88360937
1300,1.2,36,0.5,0.890384169
1300,1.2,38,0.3,0.4821649
1300,1.2,38,0.32,0.550294241
1300,1.2,38,0.34,0.613124272
1300,1.2,38,0.36,0.668553432
1300,1.2,38,0.38,0.715360093
1300,1.2,38,0.4,0.753173937
1300,1.2,38,0.42,0.782374709
1300,1.2,38,0.44,0.803992635
1300,1.2,38,0.46,0.819391866
1300,1.2,38,0.48,0.829875305
1300,1.2,38,0.5,0.836523801
1300,1.2,40,0.3,0.442047544
1300,1.2,40,0.32,0.504283553
1300,1.2,40,0.34,0.561803591
1300,1.2,40,0.36,0.612701139
1300,1.2,40,0.38,0.655815005
1300,1.2,40,0.4,0.690754312
1300,1.2,40,0.42,0.717739898
1300,1.2,40,0.44,0.73764306
1300,1.2,40,0.46,0.751646808
1300,1.2,40,0.48,0.760887943
1300,1.2,40,0.5,0.766330349
1300,1.2,42,0.3,0.399752273
1300,1.2,42,0.32,0.452119389
1300,1.2,42,0.34,0.498336744
1300,1.2,42,0.36,0.535048527
1300,1.2,42,0.38,0.556490517
1300,1.2,42,0.4,0.543765346
1300,1.2,42,0.42,0.344469818
1300,1.2,42,0.44,0.678190057
1300,1.2,42,0.46,0.742445837
1300,1.2,42,0.48,0.7381121
1300,1.2,42,0.5,0.733528375
1300,1.2,44,0.3,0.347733571
1300,1.2,44,0.32,0.401182795
1300,1.2,44,0.34,0.451152069
1300,1.2,44,0.36,0.495928398
1300,1.2,44,0.38,0.534358762
1300,1.2,44,0.4,0.565981815
1300,1.2,44,0.42,0.590721851
1300,1.2,44,0.44,0.60915904
1300,1.2,44,0.46,0.622075019
1300,1.2,44,0.48,0.630347255
1300,1.2,44,0.5,0.634649533
1300,1.2,46,0.3,0.302536879
